REId,name_short,v_full,d_losses,d_grid_subscription,d_grid_connection,d_feed_in,d_capacity_reserve,d_capex_adj,d_cable
REL00001,Ale El,1.4459271066643797,0.015252124465714445,-0.37853300319261596,-0.020958036902452015,-0.0028217444938194447,0.0,0.099874340034245,0.06704396099386223
REL00003,Almnäs Bruk,-0.434596521942332,-0.030865442424177214,-0.11070296779591704,-0.0015696045217672427,0.00901310042358272,0.0,0.06452460663758375,0.07092047504021481
REL00004,Alvesta Elnät,0.9534167166133312,-0.11695714746493557,1.2773102707597461,-0.0015057507995130948,-0.18396123884762972,0.0,-0.09470613500361935,-0.8219265819582544
REL00005,Arvika Teknik,0.5766547273241107,-0.05850078611548959,-0.5701080300165806,-0.021703853793741956,0.0012414384856329619,0.0,-0.005862796287647853,0.06879977959788341
REL00007,Bengtsfors Energi,1.3305962918163994,-0.04584554010447217,0.021198039169556537,-0.030714717173885298,0.044959706653124876,0.0,-0.0523382197500144,0.06727344713814976
REL00008,Bergs Tingslags,0.65875059668008,-0.030359607981966796,-0.23793390423774152,-0.001519012849526824,0.17728540190431463,-0.08798438039943068,0.16895181049516594,-0.23749071182468384
REL00010,Bjäre Kraft,0.631316776020574,-0.3760251350114485,-0.3591020449614124,0.1337900678874515,0.050043130347243725,0.0,0.004827639344817669,-0.23284473682512186
REL00011,Bjärke Energi,1.2144139753799132,-0.1348756379067062,-0.2842871568439209,-0.0014941327098894064,0.004994590187368253,0.0,0.11616696978336005,-0.46690760968184364
REL00012,Upplands Energi,1.034893449534846,-0.07402797243158954,-0.11822302338819757,-0.0019913018356687573,-0.006783184160519262,0.0,0.09849248258002596,0.06417523691886196
REL00014,Blåsjön Nät,0.15160415972994556,-0.0707970706266714,-1.1378820235718567,-0.0015422050602564852,-0.02573143862270033,-0.00478299414192751,0.24674011765163373,0.06968069902495433
REL00015,Bodens Energi,-0.434596521942332,-0.030865442424177214,-0.23176244985021466,-0.0015696045217672427,0.00901310042358272,0.0,0.06452460663758375,0.07092047504021481
REL00016,Boo Energi,-0.434596521942332,-0.030865442424177214,-0.11070296779591704,-0.0015696045217672427,0.00901310042358272,0.0,0.06452460663758375,0.07092047504021481
REL00017,Borgholm Energi,1.0976497542894759,-0.04568569862870575,0.05571705123912363,-0.017888558446355063,0.1921179306511922,-0.000857986886759754,-0.04459098795346339,0.02209733039610917
REL00018,Borlänge Energi,-0.434596521942332,-0.030865442424177214,-0.8340042768951061,-0.0015696045217672427,-0.010629412951024264,0.0,-0.39617447756143953,-0.41546759640537223
REL00019,Borås Elnät,-0.06606943308916646,-0.060572620506549324,-0.8746234168309885,-0.020943177843857352,0.021120156010256963,-0.00035695513862510353,-0.02412020064882503,0.06946191172250149
REL00021,Bromölla Energi,0.9147444986843389,0.02343853095208015,0.6038097447197632,-0.017122591317786373,-0.024497564315550946,-0.0002095096427012777,-0.00229700886869022,0.06810967108388244
