player,mean_phi,mean_abs_phi,share_dominant,n_favoured,n_penalised
grid_subscription,-0.07187,0.38015,0.717,84,61
capex_adj,0.05579,0.12007,0.11,44,101
cable,0.00413,0.10115,0.062,37,108
losses,-0.01961,0.07173,0.034,90,55
feed_in,0.02685,0.06948,0.062,79,66
grid_connection,0.01929,0.02988,0.014,75,70
capacity_reserve,-0.00221,0.00729,0.0,130,15
