REId,name_short,v_empty_pp,v_full_pp,phi_losses,phi_nonctrl,phi_capex_adj,phi_cable,sum_phi,residual_vs_current_pp
REL00001,Ale El,1.5918971713609231,1.4083745064336517,0.05944987616325151,-0.3988027529294669,0.0734470142455331,0.08238319759341083,-0.18352266492727143,-0.232562938496073
REL00003,Almnäs Bruk,-0.43162308554863804,-0.4318594304211887,0.0037307955974730245,-0.1031967667325902,0.008786041299024827,0.09044358496354173,-0.00023634487255062842,-1.431623085548638
REL00004,Alvesta Elnät,1.3319944240654191,0.9451031452142322,-0.11305256514102988,0.8182589406258776,-0.14316904247611656,-0.9489286118599182,-0.386891278851187,-0.4220028633352908
REL00005,Arvika Teknik,1.015832168014752,0.4703160640073367,-0.045484642070616386,-0.5292153166116143,-0.0006785843211065696,0.029862438995921965,-0.5455161040074152,-0.390155656050295
REL00007,Bengtsfors Energi,1.3739223058577554,1.333212107424031,-0.021128848365346377,0.10586558045787009,-0.20407030925050546,0.07862337872425741,-0.04071019843372432,-0.37866076502905965
REL00008,Bergs Tingslags,0.985940477593994,0.6613994679460111,-0.1611121208343798,-0.46490461855812254,0.6337571498336692,-0.33228142008914957,-0.32454100964798277,-0.8385196322630022
REL00010,Bjäre Kraft,1.2808200071943832,0.5721504637150598,-0.26577171500642793,-0.23597251516905096,0.038069399191720255,-0.24499471249556462,-0.7086695434793232,-0.38364279208273855
REL00011,Bjärke Energi,1.8244601098569957,1.2170194613408958,-0.07197804001259356,-0.14845408656723827,0.06120036446582433,-0.4482088864020924,-0.6074406485160999,-4.440892098500626e-16
REL00012,Upplands Energi,1.075488795923718,1.037512847882871,-0.049988302686002996,-0.12215027490818005,0.09213405121269261,0.042028578340643406,-0.037975948040847037,-0.4034850215371979
REL00014,Blåsjön Nät,1.053398376787018,0.23382206699773533,-0.005660391044392162,-1.203154556087326,0.3680502224503788,0.02118841489205658,-0.8195763097892829,0.05339837678701809
REL00015,Bodens Energi,-0.43162308554863804,-0.4318594304211887,0.04367276192497974,-0.1693973474242207,0.05205583716371605,0.07343240346297426,-0.0002363448725506423,-1.431623085548638
REL00016,Boo Energi,-0.43162308554863804,-0.4318594304211887,0.0037307955974730245,-0.1031967667325902,0.008786041299024827,0.09044358496354173,-0.00023634487255062842,-1.431623085548638
REL00017,Borgholm Energi,1.149348079016077,1.2033403102357232,0.00014817591622399463,0.20874592075439216,-0.16663839846361622,0.01173653301264621,0.053992231219646136,-0.2486965956468139
REL00018,Borlänge Energi,0.6131327970286815,-0.4318594304211887,0.023026243059119194,-0.5172691888318666,-0.20840064475321307,-0.3423486369239096,-1.0449922274498702,-0.3868672029713185
REL00019,Borås Elnät,0.6752160842701471,-0.015089915239541174,-0.049518233487746977,-0.8237740187842522,0.09580875237277706,0.08717750038953383,-0.6903059995096882,-0.3247839157298529
REL00021,Bromölla Energi,0.5565871908910003,0.8143574624962957,0.009674535704562448,0.3410831502111522,-0.11238252380800413,0.019395109497584904,0.2577702716052954,-0.4434128091089997
REL00023,C4 Elnät,0.21194062443383732,0.8781083413013091,-0.17298376042360436,1.0548348495817947,-0.11758042553278172,-0.09810294675793678,0.6661677168674719,-0.7880593755661627
REL00024,Carlfors Bruk,,,,,,,,
