REId,name_short,urbanity_index,req_full,kr_full,eff_offA,req_offA,kr_offA,eff_offB,req_offB,kr_offB,dA_pp,dB_pp,dA_kr,dB_kr,req_full_pp
REL00001,Ale El,0.4615727539076177,0.014083745064336517,18862.729040654922,0.71113761,0.013320871833220282,17827.388201271307,0.70120359,0.01387727946073758,18582.367377396964,0.07628732311162345,0.020646560359893762,1035.3408393836144,280.36166325795784,1.4083745064336517
REL00003,Almnäs Bruk,0.015125576142664845,-0.004318594304211887,-201.26635885206005,1.0,-0.004494700294720655,-209.4368218628088,1.0,-0.00453672564467511,-211.38616786200726,0.017610599050876807,0.021813134046322347,8.170463010748762,10.119809009947204,-0.4318594304211887
REL00004,Alvesta Elnät,0.32650141977393043,0.009451031452142322,7127.002536079777,0.75198877,0.010858083778814143,8199.586573728939,0.64337259,0.017327669688237624,13170.083263299372,-0.14070523266718205,-0.7876638236095301,-1072.5840376491615,-6043.080727219594,0.9451031452142322
REL00005,Arvika Teknik,0.40983150447095534,0.004703160640073367,3771.1984347833395,0.84830423,0.004979186084789422,3993.629808858481,0.8555657,0.004490855311829023,3600.1983840733665,-0.027602544471605484,0.021230532824434434,-222.43137407514132,171.00005070997304,0.4703160640073367
REL00007,Bengtsfors Energi,0.780669021229811,0.01333212107424031,3005.1862364433764,0.70175484,0.013884001123336764,3131.3127900563286,0.71373094,0.013125195513667975,2957.9311435894924,-0.05518800490964537,0.020692556057233524,-126.1265536129522,47.25509285388398,1.333212107424031
REL00008,Bergs Tingslags,0.0818596587474957,0.006613994679460111,9448.19937057082,0.84179107,0.005379998125107255,7675.937289570899,0.77439058,0.009459569010791702,13551.655685647107,0.12339965543528564,-0.28455743313315907,1772.2620809999198,-4103.456315076288,0.6613994679460111
REL00010,Bjäre Kraft,0.3595331671388079,0.005721504637150598,7775.797562129678,0.8306007,0.006067522787170931,8248.90648149484,0.7911938,0.008437063494572072,11497.551115075083,-0.0346018150020333,-0.2715558857421474,-473.10891936516146,-3721.7535529454044,0.5721504637150598
REL00011,Bjärke Energi,0.12666131762144237,0.012170194613408958,9373.682338958777,0.742101,0.011455837939034152,8817.172498670043,0.64385629,0.017298955805579164,13392.445681999368,0.07143566743748053,-0.5128761192170206,556.5098402887343,-4018.7633430405913,1.2170194613408958
REL00012,Upplands Energi,0.13847501989843136,0.01037512847882871,17619.678993043795,0.76879477,0.00983965611870885,16701.361685742813,0.76213744,0.010203239822870636,17324.789015878538,0.053547236011985966,0.017188865595807457,918.3173073009821,294.88997716525773,1.037512847882871
REL00014,Blåsjön Nät,0.03950245512731405,0.0023382206699773533,551.964592683225,0.92295701,0.00035051504074101736,82.5789075919599,0.89380586,0.0021244083969116367,501.3844679879287,0.1987705629236336,0.02138122730657166,469.38568509126503,50.58012469529626,0.23382206699773533
REL00015,Bodens Energi,0.255621661375014,-0.004318594304211887,-7376.088792895431,1.0,-0.004494700294720655,-7675.523139450332,1.0,-0.00453672564467511,-7746.963539426623,0.017610599050876807,0.021813134046322347,299.4343465549009,370.8747465311926,-0.4318594304211887
REL00016,Boo Energi,0.6515815235260848,-0.004318594304211887,-4687.787486191764,1.0,-0.004494700294720655,-4878.089504256959,1.0,-0.00453672564467511,-4923.492619975951,0.017610599050876807,0.021813134046322347,190.30201806519472,235.70513378418673,-0.4318594304211887
REL00017,Borgholm Energi,0.5924862995487604,0.012033403102357232,5077.10195357883,0.72576476,0.012441111477646372,5251.261687852375,0.72603339,0.012384979856341127,5227.275708940522,-0.04077083752891397,-0.03515767539838954,-174.15973427354493,-150.1737553616922,1.2033403102357232
REL00018,Borlänge Energi,0.3931206619692218,-0.004318594304211887,-8401.094168129666,0.94120335,-0.0007906340341344853,-1543.4804102117369,0.9471481,-0.001204878192304748,-2351.1961206476335,-0.35279602700774015,-0.3113716111907139,-6857.613757917929,-6049.898047482033,-0.4318594304211887
REL00019,Borås Elnät,0.7054379966727088,-0.00015089915239541174,-440.4395299956875,0.93772833,-0.0005730004311350623,-1671.749194699392,0.93376265,-0.0003663129473638893,-1068.9520051576496,0.04221012787396505,0.021541379496847757,1231.3096647037046,628.5124751619621,-0.015089915239541174
REL00021,Bromölla Energi,0.7071637131121385,0.008143574624962957,3217.2908190806593,0.78662585,0.008755729956266611,3461.2538331883234,0.79945133,0.007933436346686307,3133.612709918035,-0.06121553313036543,0.021013827827665033,-243.9630141076641,83.67810916262442,0.8143574624962957
REL00023,C4 Elnät,0.6492845695875491,0.008781083413013091,22966.230402276236,0.79859262,0.008026322853985857,20976.375853898324,0.77651533,0.009330445776278395,24416.45386946242,0.07547605590272344,-0.05493623632653044,1989.8545483779126,-1450.2234671861843,0.8781083413013091
REL00024,Carlfors Bruk,0.5812452346347495,,,,,,,,,,,,,
REL00025,Degerfors Energi,0.5325036409985427,0.003631858951665956,1302.7768096106074,0.88770944,0.0025439485148543994,911.5424337458744,0.87292173,0.003418872748639945,1226.1157847901386,0.10879104368115566,0.0212986203026011,391.234375864733,76.66102482046881,0.3631858951665956
REL00029,Övertorneå Energi,0.10865084797039593,0.0041933789193902005,1612.3692306868843,0.89008084,0.002396829038312953,919.935168315194,0.86383154,0.003980749957696927,1530.287215601174,0.17965498810772473,0.021262896169327306,692.4340623716903,82.08201508571028,0.41933789193902005
REL00030,Eksjö Elnät,0.710899219076176,0.00601291763240952,2873.9649009731384,0.82027445,0.006700708765607022,3204.9086049385082,0.83427092,0.005801440792708501,2772.3000126330107,-0.06877911331975017,0.021147683970101916,-330.9437039653699,101.66488834012762,0.601291763240952
REL00031,Emmaboda Elnät,0.33981344596867397,0.017687882401849153,12184.29074765725,0.65447737,0.016707293351602592,11497.533148263854,0.59012468,0.018244601098569957,12574.784421762006,0.09805890502465608,-0.055671869672080376,686.757599393397,-390.493674104755,1.7687882401849153
REL00033,Halmstads Energi,0.7213165758641212,-0.004318594304211887,-13945.48863245984,1.0,-0.004494700294720655,-14511.609566371515,1.0,-0.00453672564467511,-14646.677257900305,0.017610599050876807,0.021813134046322347,566.1209339116758,701.1886254404653,-0.4318594304211887
REL00035,Eskilstuna Energi,0.6594567163454585,-0.001702999122069171,-5238.834214184017,0.92975332,-7.407823096994282e-05,-228.25393058000253,0.95852727,-0.0019194196584091383,-5903.318012994303,-0.1628920891099228,0.02164205363399674,-5010.580283604014,664.4837988102863,-0.1702999122069171
REL00037,Falbygdens Energi,0.23982615262416893,0.015404433758991365,33641.91050562644,0.69743281,0.014143082694749731,30848.298795749488,0.67912404,0.015198773054496462,33185.940426705725,0.12613510642416337,0.020566070449490326,2793.61170987695,455.9700789207127,1.5404433758991365
REL00038,Falkenberg Energi,0.5838438823782954,0.0026001493694285394,3896.2323775188906,0.86891491,0.0037076595010656632,5561.953854451673,0.88886626,0.0024310333952439755,3642.2020325052245,-0.11075101316371239,0.01691159741845638,-1665.721476932782,254.0303450136662,0.26001493694285394
REL00040,Filipstad Energi,0.7299417943414745,0.012235674357197857,4054.911487275336,0.71009619,0.013383421464695955,4440.369054486848,0.73071343,0.012102963708175096,4010.39883823576,-0.11477471074980983,0.01327106490227603,-385.45756721151156,44.51264903957599,1.2235674357197857
REL00043,Gislaved Energi,0.5458264361781426,-0.0025690600341038428,-1408.8580084216555,0.97861652,-0.003142804815369993,-1722.507843183518,0.97229564,-0.002786045053963626,-1527.519883005888,0.057374478126615,0.021698501985978336,313.6498347618624,118.66187458423246,-0.2569060034103843
REL00049,Grästorps Energi,0.0958039172336703,0.0041990707161247975,2136.3335739554213,0.86820274,0.0037516757885356355,1907.8616450781522,0.86274576,0.004047800484046515,2059.0613163121484,0.0447394927589162,0.015127023207828216,228.4719288772692,77.27225764327295,0.41990707161247975
REL00062,Göteborg Energi,0.8129091780393851,-0.004318594304211887,-71773.02369469852,1.0,-0.004494700294720655,-74686.66926672467,1.0,-0.00453672564467511,-75381.81999826085,0.017610599050876807,0.021813134046322347,2913.645572026144,3608.796303562325,-0.4318594304211887
REL00064,Habo Kraft,0.33972700293199953,0.014716645825566088,9382.313571497334,0.68063113,0.015148367989179734,9661.71980008284,0.65460351,0.0166603404925858,10642.14257712933,-0.04317221636136459,-0.1943694667019713,-279.40622858550523,-1259.8290056319966,1.4716645825566088
REL00067,Hallstaviks Elverk,0.8282373008848324,0.013284347058846846,2207.6987057143283,0.77043924,0.009739837144701502,1612.916797870862,0.71452625,0.013077392216748862,2172.85558608132,0.3544509914145344,0.020695484209798387,594.7819078434663,34.84311963300843,1.3284347058846846
REL00072,Herrljunga Elektriska,0.1651894210587691,0.006574847384069216,3873.918056083284,0.83939397,0.0055273921720664365,3253.345087501087,0.82510921,0.006363724671991866,3748.7324573517053,0.10474552120027791,0.021112271207734956,620.5729685821966,125.18559873157847,0.6574847384069216
REL00074,Hjärtums Elförening,0.17817858948355703,0.006167558122133654,1377.258957635986,0.81268,0.007165624648557856,1601.7320319677046,0.83175119,0.005956178815692104,1329.7753622875011,-0.09980665264242017,0.021137930644155034,-224.47307433171864,47.48359534848487,0.6167558122133654
REL00075,Hofors Elverk,0.29048140062204436,-0.004318594304211887,-2210.324033566385,1.0,-0.004494700294720655,-2300.0527436251664,1.0,-0.00453672564467511,-2321.4606248843083,0.017610599050876807,0.021813134046322347,89.72871005878142,111.13659131792338,-0.4318594304211887
REL00077,Härnösand Elnät,0.2721465399896664,0.008218108494908671,10757.323413752933,0.8261075,0.006343184143388525,8287.53572899938,0.79822928,0.008008016836874132,10480.116063096595,0.18749243515201464,0.02100916580345391,2469.7876847535517,277.20735065633744,0.8218108494908671
REL00078,Härryda Energi,0.5336043209011583,0.01782519230780899,33586.24296507552,0.6433616,0.017367695734016086,32709.260640614993,0.63842901,0.01762099611223089,33194.71780940288,0.045749657379290376,0.02041961955780991,876.9823244605286,391.52515567264345,1.782519230780899
REL00080,Höganäs Energi,0.5101262378188598,0.010914069773880541,17514.70674180377,0.76148412,0.010283053091208805,16491.65273595241,0.73841241,0.011638514663594002,18690.818349859528,0.06310166826717367,-0.07244448897134603,1023.0540058513579,-1176.1116080557586,1.0914069773880541
REL00083,Jukkasjärvi,0.13418234173639132,0.01584958251274693,7115.092462963837,0.68188994,0.015073153777821258,6761.291627470477,0.5908837,0.018244601098569957,8209.886947432933,0.07764287349256715,-0.23950185858230277,353.80083549335995,-1094.7944844690965,1.584958251274693
REL00085,Jämtkraft,0.21972301033536956,0.008410925112328993,55941.65001837594,0.80680852,0.007524623222753046,50002.457929029,0.7943655,0.008243710622030553,54820.32737863521,0.08863018895759467,0.01672144902984396,5939.192089346943,1121.3226397407343,0.8410925112328993
REL00086,Jönköping Energi,0.45443158209807083,0.0030707443162938386,13788.403929432143,0.90289493,0.0016007317584922909,7177.124578238965,0.88199013,0.0028574003296968353,12827.699492491909,0.14700125578015477,0.021334398659700327,6611.279351193178,960.7044369402338,0.30707443162938386
REL00087,Kalmar Energi,0.729158968138237,0.0002852142060818519,456.62572540941625,0.92817316,2.4689085658557985e-05,39.51673765229966,0.92678343,7.008216364123854e-05,112.17686342460229,0.02605251204232939,0.021513204244061335,417.1089877571166,344.44886198481396,0.02852142060818519
REL00090,Karlskoga Elnät,0.4999663381423628,0.007422677933585309,13719.796661585504,0.81363308,0.007107314465413905,13132.748576847975,0.8112571,0.007212088028202501,13327.743305520704,0.03153634681714035,0.021058990538280753,587.0480847375293,392.0533560648,0.7422677933585309
REL00091,Affärsverken Karlskrona,0.7247406334585721,0.013783045922578507,27614.9865920324,0.68932693,0.014628450227968104,29333.58150059332,0.69914108,0.014000942652603765,28057.66580442965,-0.08454043053895965,-0.021789673002525767,-1718.5949085609172,-442.6792123972482,1.3783045922578507
REL00092,Karlstads Elnät,0.6400361003181406,-0.002014892134551749,-4665.906541156347,0.92340755,0.00032238469365530875,748.2965004787053,0.95820051,-0.001898879741534798,-4397.765608913768,-0.23372768282070577,-0.011601239301695099,-5414.203041635053,-268.14093224257886,-0.2014892134551749
REL00093,Tekniska verken Katrineholm,0.06512717260953974,0.0015677991535694158,2705.6565946718806,0.96248079,-0.0021263090519392236,-3655.984169240709,0.90620497,0.001353492886398966,2335.3133096352267,0.36941082055086394,0.021430626717044987,6361.64076391259,370.3432850366539,0.15677991535694158
REL00098,Kristinehamns Elnät,0.4365091791867858,0.016111958981667396,18365.694967818454,0.66253585,0.01622772267150374,18499.79301711422,0.65280469,0.016767312842073778,19125.248557276995,-0.011576368983634566,-0.06553538604063824,-134.09804929576785,-759.553589458541,1.6111958981667396
REL00100,Kungälv Energi,0.2969249237750778,0.004457612735194516,9509.798178868106,0.84020359,0.005477617114055144,11697.784504817684,0.8595487,0.004245151603649022,9054.613121657172,-0.10200043788606283,0.021246113154549384,-2187.986325949578,455.18505721093425,0.4457612735194516
REL00103,Landskrona Energi,0.753839736495728,0.0016607215487411953,2914.3121004482127,0.90577411,0.0014215963467636428,2494.087505240814,0.904711,0.0014464749440650237,2537.7983327192464,0.02391252019775525,0.02142466046761715,420.2245952073986,376.5137677289663,0.16607215487411953
REL00106,Lerum Energi,0.5986447026154679,0.004815553856572841,8045.103765201039,0.83960827,0.005514217827873535,9218.76507763657,0.85374161,0.004603319792430449,7688.90296950646,-0.06986639713006948,0.021223406414239143,-1173.6613124355308,356.200795694579,0.48155538565728406
REL00111,Tekniska verken Linköping,0.0896313106478756,-0.0029536503266112124,-14114.779033052077,1.0,-0.004494700294720655,-21446.008569566096,0.9654193,-0.002352943841788524,-11250.904788013444,0.15410499681094425,-0.06007064848226884,7331.22953651402,-2863.8742450386326,-0.29536503266112124
REL00112,Ljungby Energi,0.6882063203235967,0.004091332937302239,3290.475667566727,0.85247526,0.004722253799507525,3800.2939521603976,0.85297346,0.004650668869874641,3742.417158272834,-0.06309208622052864,-0.05593359325724023,-509.81828459367034,-451.94149070610683,0.4091332937302239
REL00113,Ljusdal Elnät,0.29418893428541065,0.005520937238447932,3319.5070847065535,0.85117925,0.004802108140389505,2885.2306943191998,0.83822676,0.005558366285818517,3342.1366847060362,0.07188290980584267,-0.0037429047370585167,434.2763903873538,-22.629599999482707,0.5520937238447932
REL00118,Luleå Energi,0.3161341185758817,-0.004318594304211887,-13363.648448742711,1.0,-0.004494700294720655,-13906.149420896536,1.0,-0.00453672564467511,-14035.581755176496,0.017610599050876807,0.021813134046322347,542.5009721538245,671.9333064337843,-0.4318594304211887
REL00121,LEVA i Lysekil,0.20780649122228856,0.009896974291627947,8989.092604778423,0.80735803,0.007491040931440152,6787.513629892481,0.77063087,0.009687929103554538,8797.38460463161,0.24059333601877952,0.0209045188073409,2201.5789748859424,191.708000146813,0.9896974291627947
REL00123,Malung-Sälens Elnät,0.13913269422598087,0.018244601098569957,53706.627416466086,0.54561395,0.018244601098569957,53706.627416466086,0.5000523,0.018244601098569957,53706.627416466086,0.0,0.0,0.0,0.0,1.8244601098569957
REL00126,Mellersta Skånes Kraft,0.13694612344645912,0.012622451276292246,4286.701855722916,0.73503743,0.011882210151795025,4032.323177485965,0.72553348,0.012415090177449128,4215.405923269778,0.07402411244972207,0.020736109884311738,254.3786782369507,71.29593245313754,1.2622451276292246
REL00127,Mjölby Kraft,0.2627599154232074,0.010681754393072174,13860.186872014086,0.7648359,0.01007983734491913,13071.295062831414,0.71839374,0.012844834427348184,16702.996729987535,0.06019170481530445,-0.21630800342760104,788.8918091826727,-2842.8098579734487,1.0681754393072174
REL00128,Mölndal Energi,0.720588911456151,-0.0031064172894503805,-4850.2846246213485,0.98274001,-0.0034030700768851174,-5311.895074156296,0.98082037,-0.003323753536995655,-5188.500401679359,0.02966527874347369,0.021733624754527447,461.6104495349473,338.21577705801064,-0.31064172894503805
REL00130,Nacka Energi,0.5801370150945139,0.011497179423517023,35923.824141111225,0.75869938,0.01045179643870564,32623.323470672665,0.73460978,0.011867992239251723,37096.21021977903,0.10453829848113827,-0.037081281573470015,3300.5006704385596,-1172.3860786678051,1.1497179423517023
REL00133,Norrtälje Energi,0.32433028905970385,0.012876284574723007,21464.61330928354,0.77689384,0.009347757911705834,15527.715934238075,0.72131482,0.01266907939867945,21114.82933077162,0.3528526663017173,0.02072051760435567,5936.897375045466,349.7839785119213,1.2876284574723007
REL00135,Nossebroortens Energi,0.1355269581905896,0.01708308025395766,7314.898376126489,0.6678927,0.015908553457987917,6803.975553333211,0.65093546,0.016878436578486422,7225.792092372902,0.11745267959697436,0.020464367547123885,510.9228227932781,89.10628375358738,1.708308025395766
REL00137,Nybro Elnät,0.5100147716117275,0.00939845336193268,8064.195738429894,0.77089072,0.009712427226140408,8336.21299075136,0.7788403,0.009189098163080889,7882.911315465807,-0.03139738642077283,0.020935519885179055,-272.0172523214669,181.28442296408684,0.9398453361932679
REL00139,Näckåns Elnät,0.08000138749726037,0.008978313220279643,2650.1516327165027,0.82611649,0.006342632825940164,1867.2432329385613,0.78574955,0.00876869627629362,2587.7359826005404,0.2635680394339479,0.020961694398602404,782.9083997779414,62.41565011596231,0.8978313220279643
REL00141,Nässjö Affärsverk,0.7313578624518247,0.00352907445902928,2528.4887181948748,0.88800224,0.002525786976538713,1807.8450184796643,0.87195583,0.0034786211924240362,2492.21454089719,0.10032874824905669,0.005045326660524374,720.6436997152105,36.27417729768467,0.352907445902928
REL00143,Olofströms Kraft,0.22047470693220123,0.002296623038487322,3630.8692272427716,0.88521881,0.002698395208767357,4267.769293903826,0.8930735,0.002169887317530206,3430.0703785114924,-0.040177217028003476,0.012673572095711627,-636.9000666610546,200.79884873127912,0.2296623038487322
REL00144,Olseröds El,0.13165913294990758,0.014939505001801745,3451.5458759018056,0.70827078,0.013493031065657357,3112.8542882871598,0.64596041,0.017174020630305264,3976.6723577672556,0.1446473936144388,-0.22345156285035195,338.69158761464587,-525.1264818654499,1.4939505001801745
REL00146,Oskarshamn Energi,0.4736908711788834,0.0017577637166668048,1934.0858371126094,0.87957987,0.00304780858614917,3357.86472357245,0.89759501,0.001889006518995373,2078.7664728661302,-0.12900448694823652,-0.013124280232856833,-1423.7788864598408,-144.68063575352085,0.17577637166668048
REL00147,Oxelö Energi,0.5410970335215576,-0.004318594304211887,-1591.0085576187855,1.0,-0.004494700294720655,-1655.5959861585154,1.0,-0.00453672564467511,-1671.005546823168,0.017610599050876807,0.021813134046322347,64.5874285397299,79.99698920438254,-0.4318594304211887
REL00148,Partille Energi,0.7371457371200312,0.002774574976318389,3379.636488108544,0.90252692,0.0016236214980049901,1975.4155406211291,0.88677051,0.0025610418199821794,3118.87133826167,0.1150953478313399,0.021353315633620973,1404.220947487415,260.765149846874,0.2774574976318389
REL00149,PiteEnergi,0.2931682576933454,-0.004318594304211887,-8644.53688514532,1.0,-0.004494700294720655,-8995.464229724797,1.0,-0.00453672564467511,-9079.190061940839,0.017610599050876807,0.021813134046322347,350.927344579477,434.65317679551845,-0.4318594304211887
REL00152,Ronneby Miljöteknik,0.511226920074783,0.00845188651545592,10738.938610409048,0.76014049,0.010364481884601151,13194.286629721915,0.77756923,0.009266380802915641,11783.425791087844,-0.19125953691452313,-0.08144942874597216,-2455.348019312867,-1044.487180678796,0.845188651545592
REL00156,Rödeby Elverk,0.2211617355344107,0.012558749696464533,6783.72189383438,0.7168122,0.0129798416735607,7014.131399356698,0.72443733,0.012481103516419623,6741.257172646809,-0.04210919770961663,0.00776461800449102,-230.4095055223179,42.46472118757174,1.2558749696464533
