REId,name_short,req_full_pp,dpp_losses,dkr_losses,kind_losses,dpp_nonctrl,dkr_nonctrl,kind_nonctrl,dpp_capex_adj,dkr_capex_adj,kind_capex_adj,dpp_cable,dkr_cable,kind_cable
REL00001,Ale El,1.4083745064336517,0.07875771655372343,1068.8418051401713,deduction,-0.40289351635198756,-5493.987667081783,deduction,0.07628732311162345,1035.3408393836144,deduction,0.020646560359893762,280.36166325795784,deduction
REL00003,Almnäs Bruk,-0.4318594304211887,0.008747131205366632,4.058604723290301,reward,-0.09968215403511893,-46.30207455114822,reward,0.017610599050876807,8.170463010748762,reward,0.021813134046322347,10.119809009947204,reward
REL00004,Alvesta Elnät,0.9451031452142322,-0.0786527349791788,-599.1929442846085,deduction,1.2164340181585187,9148.364252220845,reward,-0.14070523266718205,-1072.5840376491615,deduction,-0.7876638236095301,-6043.080727219594,deduction
REL00005,Arvika Teknik,0.4703160640073367,-0.0637583067075731,-513.9730582917045,deduction,-0.536346681348876,-4344.069561195767,deduction,-0.027602544471605484,-222.43137407514132,deduction,0.021230532824434434,171.00005070997304,deduction
REL00007,Bengtsfors Energi,1.333212107424031,0.04431112304377205,101.1685080241532,deduction,0.2451909811807429,558.6894448598291,deduction,-0.05518800490964537,-126.1265536129522,deduction,0.020692556057233524,47.25509285388398,deduction
REL00008,Bergs Tingslags,0.6613994679460111,0.007976185746172426,114.68559713754439,deduction,-0.9424585853328837,-13680.119809084452,deduction,0.12339965543528564,1772.2620809999198,deduction,-0.28455743313315907,-4103.456315076288,deduction
REL00010,Bjäre Kraft,0.5721504637150598,-0.3266697490576398,-4479.566432764709,deduction,-0.18166798657057726,-2487.5827299897146,deduction,-0.0346018150020333,-473.10891936516146,deduction,-0.2715558857421474,-3721.7535529454044,deduction
REL00011,Bjärke Energi,1.2170194613408958,-0.0972765603812098,-759.0916377390058,deduction,-0.26161796679788907,-2044.8570694360787,deduction,0.07143566743748053,556.5098402887343,deduction,-0.5128761192170206,-4018.7633430405913,deduction
REL00012,Upplands Energi,1.037512847882871,-0.03616464161448896,-620.7653588324429,deduction,-0.13163671229139418,-2261.6886452105136,deduction,0.053547236011985966,918.3173073009821,deduction,0.017188865595807457,294.88997716525773,deduction
REL00014,Blåsjön Nät,0.23382206699773533,-0.03439647804375223,-81.41476950497372,deduction,-1.2577901576656725,-3013.7294569472065,deduction,0.1987705629236336,469.38568509126503,deduction,0.02138122730657166,50.58012469529626,deduction
REL00015,Bodens Energi,-0.4318594304211887,0.008747131205366632,148.74134448002133,reward,-0.247250351608308,-4215.19010543018,reward,0.017610599050876807,299.4343465549009,reward,0.021813134046322347,370.8747465311926,reward
REL00016,Boo Energi,-0.4318594304211887,0.008747131205366632,94.5308323842819,reward,-0.09968215403511893,-1078.442949450562,reward,0.017610599050876807,190.30201806519472,reward,0.021813134046322347,235.70513378418673,reward
REL00017,Borgholm Energi,1.2033403102357232,0.02137441822760433,91.24816715840552,deduction,0.3032157675059821,1290.817811617787,deduction,-0.04077083752891397,-174.15973427354493,deduction,-0.03515767539838954,-150.1737553616922,deduction
REL00018,Borlänge Energi,-0.4318594304211887,0.008747131205366632,169.41092722127541,reward,-0.5043304865424814,-9818.02389760711,deduction,-0.35279602700774015,-6857.613757917929,reward,-0.3113716111907139,-6049.898047482033,reward
REL00019,Borås Elnät,-0.015089915239541174,-0.019316491022858262,-563.8272789003147,deduction,-0.8520008743761687,-25076.93450183009,deduction,0.04221012787396505,1231.3096647037046,reward,0.021541379496847757,628.5124751619621,reward
REL00021,Bromölla Energi,0.8143574624962957,0.008990390635155165,35.80447051617921,deduction,0.4240149870630372,1681.6855581127352,deduction,-0.06121553313036543,-243.9630141076641,deduction,0.021013827827665033,83.67810916262442,deduction
REL00023,C4 Elnät,0.8781083413013091,-0.036540205179935725,-964.4227905950283,deduction,1.2102856176873789,31549.551343748346,reward,0.07547605590272344,1989.8545483779126,deduction,-0.05493623632653044,-1450.2234671861843,deduction
REL00024,Carlfors Bruk,,,,,,,,,,,,,
REL00025,Degerfors Energi,0.3631858951665956,-0.1750288354217755,-631.22449568396,deduction,-0.03234696707474782,-116.49016835228917,deduction,0.10879104368115566,391.234375864733,deduction,0.0212986203026011,76.66102482046881,deduction
REL00029,Övertorneå Energi,0.41933789193902005,0.14327717130866446,552.4256031541445,deduction,-0.053513077590183755,-206.73289539727398,deduction,0.17965498810772473,692.4340623716903,deduction,0.021262896169327306,82.08201508571028,deduction
REL00030,Eksjö Elnät,0.601291763240952,-0.0427755422069076,-205.76925295379897,deduction,0.9334690396270218,4446.904796436485,reward,-0.06877911331975017,-330.9437039653699,deduction,0.021147683970101916,101.66488834012762,deduction
