org_nr,company,network_levels,has_local,has_regional,has_transmission
559425-3659,Ulricehamns Energi Elnät AB,Lokalnät,True,False,False
559427-7245,Bjäre Kraft Elnät AB,Lokalnät,True,False,False
559434-7188,Alingsås Energi Elnät AB,Lokalnät,True,False,False
559434-9705,Karlsborgs Elnät AB,Lokalnät,True,False,False
559440-4443,Degerfors Elnät AB,Lokalnät,True,False,False
559440-6000,Skyllberg Elnät AB,Lokalnät,True,False,False
559440-7347,Karlshamn Elnät AB,Lokalnät,True,False,False
559441-5910,Skara Elnät AB,Lokalnät,True,False,False
559441-7643,Hjo Elnät AB,Lokalnät,True,False,False
559443-4036,Öresundskraft Elnät AB,"Lokalnät, Regionnät",True,True,False
559461-7457,Sandhult-Sandareds Elnät AB,Lokalnät,True,False,False
559461-7556,Östra Kinds Elnät AB,Lokalnät,True,False,False
559463-4999,Telge Elnät AB,Lokalnät,True,False,False
559481-7768,Varbergsortens Elnät AB,Lokalnät,True,False,False
714000-0204,Boo Energi ek för,Lokalnät,True,False,False
714400-0515,Hallstaviks Elverk Ek för,Lokalnät,True,False,False
716410-3645,Nossebroortens Energi ek för,Lokalnät,True,False,False
717600-7735,Upplands Energi ek för,Lokalnät,True,False,False
735000-1520,Rödeby Elverk ek för,Lokalnät,True,False,False
737000-0106,Brittedals Elnät ek för.,Lokalnät,True,False,False
737000-2458,Mellersta Skånes Kraft ek. för.,Lokalnät,True,False,False
738200-3924,Olseröds Elektriska Distributionsförening upa,Lokalnät,True,False,False
739400-0132,Bjäre Kraft ek för,Lokalnät,True,False,False
749200-2733,Södra Hallands Kraft ek för,Lokalnät,True,False,False
749600-1145,Varbergsortens Elkraft ek. för.,Lokalnät,True,False,False
758500-0537,Hjärtums Elförening Ek För,Lokalnät,True,False,False
758500-2152,Västra Orusts Energitjänst ek för,Lokalnät,True,False,False
763000-0128,Bjärke Energi ek för,Lokalnät,True,False,False
763500-0040,Ale El ek för,Lokalnät,True,False,False
764500-4644,Sandhult-Sandared Elektriska ek för,Lokalnät,True,False,False
765500-1985,Östra Kinds Elkraft ek för,Lokalnät,True,False,False
766600-1875,Sjogerstads Elektriska Distributionsförening ek för,Lokalnät,True,False,False
768400-1048,Larv Elektriska Distributionsförening,Lokalnät,True,False,False
768400-2038,Vara Energi ek för,Lokalnät,True,False,False
768400-2194,Kvänumsbygdens Energi ek för,Lokalnät,True,False,False
768400-2202,Vallebygdens Energi ek för,Lokalnät,True,False,False
769000-0612,Götene Elförening ek för,Lokalnät,True,False,False
769000-2485,Vinninga Elektriska Förening ek för,Lokalnät,True,False,False
769000-2766,Grästorps Energi Ek för,Lokalnät,True,False,False
774000-0950,Viggafors Elektriska Andelsförening UPA,Lokalnät,True,False,False
775000-1898,Närkes Kils Elektriska Ek för,Lokalnät,True,False,False
785500-2239,Årsunda Kraft & Belysningsförening ek för,Lokalnät,True,False,False
785500-2312,Österfärnebo El ek. för.,Lokalnät,True,False,False
797300-0370,Jukkasjärvi Sockens Belysningsförening upa,Lokalnät,True,False,False
798200-0726,Töre Energi ek för,Lokalnät,True,False,False
887000-0166,Hamra Besparingsskog,Lokalnät,True,False,False
926000-2671,Carlfors Bruk E Björklund & Co KB,Lokalnät,True,False,False
969694-4066,Sörbylunds Elnät HB,Lokalnät,True,False,False
