REId,name_short,req_base_pp,dpp_losses,dkr_losses,dpp_nonctrl,dkr_nonctrl,dpp_capex_adj,dkr_capex_adj,dpp_cable,dkr_cable
REL00001,Ale El,1.5918971713609231,0.07408339275483122,1010.6066301877217,-0.3438983418187158,-4671.8671567287165,0.12114824978621819,1653.4124443485634,0.15230297007082783,2079.249757427504
REL00003,Almnäs Bruk,-0.43162308554863804,0.026679593077205688,12.383589944801003,-0.054816441224003754,-25.422807048347522,0.04605501151337954,21.381028129753645,0.16174828239505779,75.17871571955
REL00004,Alvesta Elnät,1.3319944240654191,-0.20417421133012148,-1563.0553407330772,0.4623686776904279,3563.1769772381394,-0.0933259761577876,-715.243996432042,-1.0650071552553486,-8083.73833258776
REL00005,Arvika Teknik,1.015832168014752,-0.04750498426500105,-386.7069347665429,-0.5201154992163781,-4214.057450629546,0.017271683270303484,140.6880929112649,-0.018172736522714672,-147.97551306784408
REL00007,Bengtsfors Energi,1.3739223058577554,-0.03891495050944993,-88.92494435616572,0.032658344168035036,74.68097696448422,-0.291817722040677,-665.1628106202834,0.12824561025246428,293.5422529466614
REL00008,Bergs Tingslags,0.985940477593994,-0.6402456857230288,-9207.362959750324,-0.28212553184012723,-4071.726936049001,0.8385196322630017,12237.491461531183,-0.7243404439278178,-10408.015117586921
REL00010,Bjäre Kraft,1.2808200071943832,-0.17496975038340246,-2421.292847436649,-0.2531318894855472,-3500.20854442525,0.1440157356255023,1999.2669281798371,-0.2154302433990507,-2980.0010901977603
REL00011,Bjärke Energi,1.8244601098569957,-0.05944838033313804,-468.798768207007,-0.08762000975619522,-690.7620919249839,0.0,0.0,-0.37650822010664164,-2959.7595405032134
REL00012,Upplands Energi,1.075488795923718,-0.09109052222864289,-1562.7693654259892,-0.09604584652753712,-1647.7028039504767,0.10431809816495718,1793.1864694780452,0.10084958588223447,1733.5043226970229
REL00014,Blåsjön Nät,1.053398376787018,-0.025038760333462307,-60.20610636903257,-1.0717472232467773,-2550.340474800896,0.5624855510191207,1360.433273434418,0.08360128788340582,201.2380145631996
REL00015,Bodens Energi,-0.43162308554863804,0.026679593077205688,453.8386818772833,-0.054816441224003754,-931.7050461030858,0.056038500124933055,953.5348936817427,0.16174828239505779,2755.1791846686383
REL00016,Boo Energi,-0.43162308554863804,0.026679593077205688,288.43189844776225,-0.054816441224003754,-592.1343110932485,0.04605501151337954,497.99537627769496,0.16174828239505779,1751.022102194041
REL00017,Borgholm Energi,1.149348079016077,-0.02228037586942122,-95.01281915096479,0.09680715010480512,413.3151754390683,-0.30328881057533064,-1289.7414820907625,-0.029025762133705335,-123.76965952248065
REL00018,Borlänge Energi,0.6131327970286815,0.04959339483281422,981.3524064703379,-0.3930598295153853,-7743.606584429324,0.0708378048946301,1402.0329785836366,-0.2800967205813132,-5524.356976789693
REL00019,Borås Elnät,0.6752160842701471,-0.04912415646187718,-1452.7887487694497,-0.7413554684899681,-21773.97231720435,0.19988730468236682,5926.119017534213,0.15648831262766727,4637.449803460804
REL00021,Bromölla Energi,0.5565871908910003,0.0008040059771063923,3.185877242377501,0.27313359889762356,1085.2362942758705,-0.14366813015334046,-568.4660187385437,-0.001197431627453227,-4.744733423119669
REL00023,C4 Elnät,0.21194062443383732,-0.6168841169052697,-15962.294236354,0.611648367314177,16022.243518934256,-0.5975086984690958,-15463.934888966947,-0.4818154275874176,-12484.133313556085
REL00024,Carlfors Bruk,,,,,,,,,
REL00025,Degerfors Energi,0.5510978415231405,-0.21825702701900873,-786.9858079027094,-0.14126892503842914,-509.7752439240396,0.07727319646391173,279.4521674658215,0.09566046030855535,346.0116378243381
