,density_cu_km,jordkabel_share,urbanity_index,capex_cut_pct,cable_eff_pct
density_cu_km,1.0,0.5309578520386099,0.820054353764173,0.615003969365764,0.7018087078020079
jordkabel_share,0.5309578520386099,1.0,0.5954029718662412,0.5193219172292141,0.4368592821573212
urbanity_index,0.820054353764173,0.5954029718662412,1.0,0.89013897380263,0.9053147010362033
capex_cut_pct,0.615003969365764,0.5193219172292141,0.89013897380263,1.0,0.9028093305058079
cable_eff_pct,0.7018087078020079,0.4368592821573212,0.9053147010362033,0.9028093305058079,1.0
