REId,name_short,controllable,opexp_dea,loss_valued,nonctrl_selected,grid_subscription,grid_connection,feed_in,capacity_reserve,capex_unadj,capex_adj,opex_new,totex_new,totex_unadj,application_base_new,capex_cut,capex_cut_pct,cable_ded,cable_eff_pct,station_ded,station_eff_pct,eff_new,rank_new,req_new_pct,kr_new,e75,gap,kind,eff_cur,rank_cur,req_cur_pct,kr_cur,d_eff,d_rank,d_req_pp,d_kr,CU,MW,NS,MWhl,MWhh,cable_length_km,jordkabel_km,luftledning_km,city_km,tatort_km,lb_km,density_cu_km,jordkabel_share,luftledning_share,urbanity_index,jordkabel_landsbygd_share
REL00001,Ale El,46368.84251246613,46368.84251246613,5772.103727676411,20812.5,20500.0,0.0,312.5,0.0,59620.58022504699,44397.89153823865,72953.44624014254,117351.33777838119,132574.02646518953,132059.59431630874,15222.688686808346,0.25532607413996944,396294244.31619716,0.5061518708733579,21566370.0,0.14138067284888056,0.69450197,127,0.014459271066643797,19372.95424994832,0.9309165425,0.23641457249999998,deduction,0.677753399242738,137,0.01824460109856996,8615.5693426485,0.016748570757261994,-10,-0.3785330031926163,10757.384907299822,13330.5,54.95,394.5,183522.25,21546.0,1174.2668170003437,1042.6342933455394,118.3256,21.74438445906592,596.7248166350373,367.16509225143625,11.352189985281768,0.8879023729964041,0.10076551452101994,0.4615727539076177,0.35215136754546983
REL00003,Almnäs Bruk,1465.7215955284555,1465.721595528456,0.0,1143.25,1071.25,0.0,72.0,0.0,1635.926714697056,1581.591262325309,2608.971595528456,4190.562857853765,4244.8983102255115,4680.630103597888,54.335452371747124,0.033213867029373054,912607.9919999999,0.060571739374758675,0.0,0.0,1.0,1,-0.00434596521942332,-202.53642573680096,0.9309165425,-0.0690834575,reward,1.0,1,0.01,148.0452244135676,0.0,0,-1.434596521942332,-350.58165015036855,315.75,1.0,41.5,4871.0,0.0,91.76599999999999,60.414,31.352,0.0,1.592,39.132,3.4408168602750475,0.6583484079070681,0.34165159209293205,0.015125576142664845,0.6477306584566491
REL00004,Alvesta Elnät,16381.143761883468,16381.14376188347,2377.8566520249024,25680.0,25515.0,0.0,165.0,0.0,27479.54148800415,19740.76649253572,44439.000413908376,64179.7669064441,71918.54190191253,74700.44662615692,7738.77499546843,0.2816195095120745,221960113.74144775,0.514943770963789,10275741.0,0.11480363486228272,0.77617436,96,0.009534167166133312,7190.29273414248,0.9309165425,0.15474218250000005,deduction,0.711890100913881,124,0.0175399728740071,2924.088396077891,0.0642842590861189,-28,-0.8005805707873789,4266.204338064589,5027.0,32.25,145.25,73611.75,54887.5,939.79,923.88,4.53,19.51,329.56,216.81,5.349067344832356,0.9830706860043201,0.004820225795124443,0.32650141977393043,0.23467333419924666
REL00005,Arvika Teknik,21970.543022276426,21970.54302227643,3191.571810108775,12810.0,12700.0,0.0,110.0,0.0,40359.33384022739,30246.39180830073,37972.1148323852,68218.50664068593,78331.44867261259,79808.10862293997,10112.942031926657,0.25057257069606975,261628761.296,0.4929215537276868,13066683.0,0.16985682517451792,0.83785064,69,0.005766547273241107,4628.787562238302,0.9309165425,0.09306590250000002,deduction,0.770252997865064,108,0.01405987824065047,3132.7691845955815,0.06759764213493602,-39,-0.8293330967409362,1496.0183776427202,10309.75,39.5,216.25,118689.75,31668.25,824.179,812.486,6.1129999999999995,40.56,340.894,327.239,12.509115131543027,0.9858125480023151,0.007417078086192441,0.40983150447095534,0.4027626322176628
REL00007,Bengtsfors Energi,6888.901465745258,6888.901465745258,621.5880011188584,5300.0,4900.0,0.0,400.0,0.0,9354.045726833258,5805.321126344544,12810.489466864117,18615.810593208662,22164.535193697375,22242.42545832558,3548.724600488714,0.3793785816450256,103555441.425,0.6197625472592815,5074440.0,0.23091217233928424,0.71373415,120,0.013305962918163994,2999.2114884563553,0.9309165425,0.21718239250000004,deduction,0.712128487200939,123,0.01752583070886815,1228.68286571466,0.0016056627990609362,-3,-0.4219867790704157,1770.5286227416952,2351.75,8.0,56.0,29847.75,621.25,186.293,185.713,0.0,2.7520000000000002,163.65,14.769,12.623931119258373,0.9968866248329245,0.0,0.780669021229811,0.07952593517955124
REL00008,Bergs Tingslags,40169.56274046071,40169.56274046071,6704.862656723615,20000.0,18000.0,0.0,2000.0,0.0,70422.2192188393,65808.84094127236,66874.42539718433,132683.26633845668,137296.64461602364,141909.9328954604,4613.378277566939,0.06551026549207031,107407666.14772496,0.23652103254401863,4440135.0,0.03447697461198219,0.82447038,77,0.0065875059668008,9410.110549267956,0.9309165425,0.10644616250000005,deduction,0.655982435065122,142,0.01824460109856996,7463.711287623044,0.16848794493487795,-65,-1.1657095131769162,1946.3992616449123,8041.75,95.4375,493.5,129882.75,10286.75,1793.5963214452033,1002.3759704452033,788.396634,0.0,168.40073008257937,762.315240362624,4.483589704020078,0.5588637523729596,0.4395619151162975,0.0818596587474957,0.760508295130063
REL00010,Bjäre Kraft,35288.26982789973,35288.26982789973,0.0,24613.0,20600.0,2906.0,1107.0,0.0,65761.46440754113,50657.68833525214,59901.26982789973,110558.95816315187,125662.73423544086,135129.4094358555,15103.776072288994,0.22967517844017146,430591890.699,0.460409359611483,21946953.0,0.1414822354609818,0.82894528,73,0.00631316776020574,8584.973825999885,0.9309165425,0.10197126249999999,deduction,0.726962817105034,119,0.016644627992771218,5972.181475945932,0.10198246289496604,-46,-1.0331460232565477,2612.7923500539528,13821.0,64.235,382.75,188168.0,31165.0,1668.977,1579.838,84.164,0.0,688.238,672.1,8.281120710471145,0.9465906360602931,0.050428496018818714,0.3595331671388079,0.4254233661932426
REL00011,Bjärke Energi,23336.593428157183,23336.59342815718,2539.846225891083,13475.0,13329.0,0.0,146.0,0.0,35099.06099737207,29933.900204621415,39351.43965404826,69285.33985866967,74450.50065142033,76089.95238011342,5165.160792750656,0.14715951498353133,125660356.11600001,0.25424150437141063,7104216.0,0.10827743144904985,0.73304204,110,0.012144139753799132,9353.37076445871,0.9309165425,0.19787450250000005,deduction,0.621032859722245,143,0.01824460109856996,4336.059043255816,0.11200918027775497,-33,-0.6100461344770828,5017.311721202895,4945.0,21.55,358.5,72008.25,1853.0,1201.542,1060.824,133.421,0.0,174.555,760.269,4.1155448581905585,0.8828854921425969,0.11104147836696512,0.12666131762144237,0.7166777900952467
REL00012,Upplands Energi,53398.645384376694,53398.64538437669,6539.859307651508,28557.25,28015.75,0.0,541.5,0.0,76310.87904395287,65718.48673376607,88495.75469202819,154214.24142579426,164806.63373598107,168073.28157471627,10592.392310186799,0.13880579601351317,287706172.9305208,0.30412650140764047,126861.0,0.0008275972800120119,0.7627454,103,0.01034893449534846,17574.734416576262,0.9309165425,0.16817114249999998,deduction,0.75806256444253,112,0.014789738174609159,8015.188384059268,0.004682835557470066,-9,-0.4440803679260698,9559.546032516995,13438.25,62.565,916.25,205002.0,13412.75,2667.2402710380857,1814.4201620380857,428.512864,3.5329472578238943,419.57413790290764,1362.1780768773542,5.0382600120122865,0.6802612354573951,0.16065776625111597,0.13847501989843136,0.7507511795654095
REL00014,Blåsjön Nät,11029.37657903794,11029.37657903794,845.3596769478147,803.5,800.0,0.0,3.5,0.0,9578.732530662315,9180.162228716874,12678.236255985756,21858.39848470263,22256.96878664807,23238.048577197427,398.5703019454413,0.0416099207979328,11608627.398000002,0.29378446728488533,634305.0,0.04331293915204818,0.90660466,44,0.0015160415972994556,352.8329869666287,0.9309165425,0.024311882500000048,deduction,0.870895606627907,69,0.01,1145.636859789493,0.03570905337209296,-25,-0.8483958402700544,-792.8038728228643,1527.75,11.0,160.5,17480.5,0.0,417.058,97.042,290.43,0.0,18.896,62.564,3.6631595605407403,0.23268226481688398,0.6963779618182603,0.03950245512731405,0.6447105377053235
