REId,name_short,C1_legacy_2in,C2_twosided_2in,C3_legacy_1in,C4_twosided_1in,phi_mechanic,phi_input
REL00001,Ale El,1.8244601098569957,1.8244601098569957,1.8244601098569957,1.6352773587699154,-0.09459137554354013,-0.09459137554354013
REL00003,Almnäs Bruk,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00004,Alvesta Elnät,1.7003554235173635,1.606594730588018,1.7175031847580513,1.350674124709439,-0.23029487648897895,-0.11938642231894558
REL00005,Arvika Teknik,1.4059878112690605,1.3114066949525105,1.435488719682687,1.0655690498745596,-0.23225039306233874,-0.10816836833216215
REL00007,Bengtsfors Energi,1.752583054281165,1.658966929907435,1.783074381657368,1.4169589557065487,-0.22986577516227458,-0.10575832341234159
REL00008,Bergs Tingslags,1.8244601098569957,1.8244601098569957,1.8244601098569957,1.795837131104805,-0.014311489376095388,-0.014311489376095388
REL00010,Bjäre Kraft,1.6644627820578295,1.5706025637367116,1.6930620024206977,1.3259664634293955,-0.23047787865621006,-0.10801843997222393
REL00011,Bjärke Energi,1.8244601098569957,1.8244601098569957,1.8244601098569957,1.8244601098569957,0.0,0.0
REL00012,Upplands Energi,1.4789738440303957,1.3845970358124404,1.4882463019903813,1.1189074521764875,-0.23185782901592455,-0.12820856283798365
REL00014,Blåsjön Nät,1.0000000000000009,0.7010077813780491,1.8229624876499484,1.4572802675880236,-0.3323372193419383,0.789617486929961
REL00015,Bodens Energi,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00016,Boo Energi,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00017,Borgholm Energi,1.3980446720080586,1.3034412850275734,1.422542151777395,1.0524797632176508,-0.23233288777011474,-0.11323202102029306
REL00018,Borlänge Energi,1.0000000000000009,-0.05149235203352198,1.1698762641347837,0.7970137289596169,-0.7121774436043449,0.5091911725639608
REL00019,Borås Elnät,1.0000000000000009,0.0307015770533825,1.0742362007786666,0.7003063323082426,-0.6716141457085212,0.37192047801676287
REL00021,Bromölla Energi,1.0000000000000009,0.8620532318105667,1.0000000000000009,0.592776428387598,-0.2725851699009185,-0.13463840171148433
REL00023,C4 Elnät,1.0000000000000009,-0.0986348051854935,1.0000000000000009,0.1981255875459942,-0.9502546088197505,0.14838019636574384
REL00024,Carlfors Bruk,1.0,,1.0,,,
REL00025,Degerfors Energi,1.0000000000000009,0.8217140980952164,1.0000000000000009,0.5951987564996264,-0.29154357270257947,-0.11325767079779503
REL00029,Övertorneå Energi,1.0000000000000009,-0.05856508420220008,1.0000000000000009,-0.256531580288355,-1.1575483322452784,-0.09898324804307745
REL00030,Eksjö Elnät,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.30274247559721745,-1.2006886403913564,-0.10205383520586198
REL00031,Emmaboda Elnät,1.0000000000000009,-0.0986348051854935,1.16414845857995,0.7912221167541533,-0.7357805735056455,0.527002690259798
REL00033,Halmstads Energi,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00035,Eskilstuna Energi,1.0000000000000009,-0.0986348051854935,1.0000000000000009,0.06277173028539362,-1.0179315374500508,0.08070326773544356
REL00037,Falbygdens Energi,1.8244601098569957,1.8026185742243461,1.8244601098569957,1.6478277795715313,-0.099236932959057,-0.07739539732640743
REL00038,Falkenberg Energi,1.0000000000000009,0.3160473331361935,1.0000000000000009,0.10667934320238714,-0.7886366618307106,-0.10468399496690317
REL00040,Filipstad Energi,1.8244601098569957,1.8244601098569957,1.8244601098569957,1.8161099358449118,-0.0041750870060419665,-0.0041750870060419665
REL00043,Gislaved Energi,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.35944993943654024,-1.2290423723110178,-0.13040756712552337
REL00049,Grästorps Energi,1.0000000000000009,0.37499332820747355,1.5340976745957358,1.1652626201682725,-0.4969208631099953,0.6621834832782669
REL00062,Göteborg Energi,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00064,Habo Kraft,1.782741505604668,1.6892087257240451,1.789049354400385,1.422998863600422,-0.2297916353402929,-0.1299510066639531
REL00067,Hallstaviks Elverk,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00072,Herrljunga Elektriska,1.0000000000000009,0.10205899683530806,1.0000000000000009,-0.15852745670620338,-1.0282342299354486,-0.13029322677075572
REL00074,Hjärtums Elförening,1.0000000000000009,0.9028761707764454,1.086918733338993,0.7131306360206535,-0.23545596327094742,-0.05141340070839995
REL00075,Hofors Elverk,1.0000000000000009,0.4049960546417264,1.0000000000000009,0.13977944925784858,-0.7276122480502134,-0.1326083026919389
REL00077,Härnösand Elnät,1.493299065795517,1.3989622886408482,1.5037627636458328,1.134594505330777,-0.23175251773486227,-0.1269520427298776
REL00078,Härryda Energi,1.8244601098569957,1.8244601098569957,1.8244601098569957,1.8244601098569957,0.0,0.0
REL00080,Höganäs Energi,1.0000000000000009,0.7777380002887968,1.0150008288267953,0.6404078446644368,-0.2984274919367813,-0.06116466339878279
REL00083,Jukkasjärvi,1.4958257027272603,1.4014959837717722,1.8244601098569957,1.77469694141279,-0.07204644369984692,0.3509176823853766
REL00085,Jämtkraft,1.8244601098569957,1.8244601098569957,1.8244601098569957,1.5974879773780648,-0.11348606623946544,-0.11348606623946544
REL00086,Jönköping Energi,1.0000000000000009,0.21435718572619944,1.0000000000000009,0.5128838529746771,-0.6363794806495626,0.14926333362423883
