REId,name_short,v_empty,d_losses,d_grid_subscription,d_grid_connection,d_feed_in,d_capacity_reserve,d_capex_adj,d_cable
REL00001,Ale El,1.6352773587699154,0.0323419506029321,-0.3428380002649556,-0.01403353553752762,0.002282255403729394,-0.026101623846130906,0.13153672205394873,0.15341896962246526
REL00003,Almnäs Bruk,-0.38620463357431634,-0.07422390846678617,-0.2358031184158449,0.006861601395824479,0.05739204492180017,-0.027724038951393304,0.05731563734722167,0.1629190871463848
REL00004,Alvesta Elnät,1.350674124709439,-0.09108759319462756,0.4655284970280782,0.006514888989395118,-0.010505655221404453,-0.026322244543020012,0.017958700937703576,-1.0728488241109835
REL00005,Arvika Teknik,1.0655690498745596,0.014561548781744094,-0.39833298944491613,-0.05602953065766414,-0.022617511189970685,-0.026545755245011016,0.021862191742760828,0.09119721671702052
REL00007,Bengtsfors Energi,1.4169589557065487,-0.026869903802162476,0.03912439877933327,-0.05608678283284263,0.09363088148033327,-0.026270639876946333,-0.28060586607059346,0.13968018930317072
REL00008,Bergs Tingslags,1.795837131104805,-0.09156900987334904,-0.3593253699679,0.006429802276586294,-0.7132471816320818,-0.12583364034475242,0.028622978752190775,-0.18058384463039978
REL00010,Bjäre Kraft,1.3259664634293955,-0.22109942802674976,-0.4188220110084906,0.1275604998595803,0.04611761900179534,-0.026341514767369567,0.15836784351423994,-0.13713949910718615
REL00011,Bjärke Energi,1.8244601098569957,0.0,-0.17648645813592712,0.0,0.0,0.0,0.0,-0.3322437668775047
REL00012,Upplands Energi,1.1189074521764875,0.04592791634314697,-0.2551570052320651,0.006559782714532503,0.017956669595831087,-0.026503748151540663,0.1229400647666079,0.10585282556263564
REL00014,Blåsjön Nät,1.4572802675880236,-0.008322683706984968,-1.166390545748719,0.006494376647436795,-0.46104630733430074,-0.08328207055050552,0.15415895890533715,-0.09506306685089783
REL00015,Bodens Energi,-0.38620463357431634,-0.07422390846678617,-0.2358031184158449,0.006861601395824479,0.05739204492180017,-0.027724038951393304,0.05731563734722167,0.1629190871463848
REL00016,Boo Energi,-0.38620463357431634,-0.07422390846678617,-0.2358031184158449,0.006861601395824479,0.05739204492180017,-0.027724038951393304,0.05731563734722167,0.1629190871463848
REL00017,Borgholm Energi,1.0524797632176508,0.044968253619726006,0.061510614965376575,-0.09310529749846364,0.23893037799598282,-0.02655607738828447,-0.34755577751321987,0.050827447680656945
REL00018,Borlänge Energi,0.7970137289596169,-0.07877515916825395,-0.37209499818573466,0.05996479699297286,-0.1329087238405524,-0.0267586129327535,-0.05814923203486533,-0.30913770097606985
REL00019,Borås Elnät,0.7003063323082426,-0.07642543887251829,-0.7068087164957548,-0.030139797975015092,0.0579403574290982,-0.026835820907766816,0.20338316146581992,0.12415996440486854
REL00021,Bromölla Energi,0.592776428387598,0.031886661801783234,0.2613037189909573,0.0036889121804328795,0.011562581668700389,-0.028195059889069007,0.007495974112647907,0.08432694137510133
REL00023,C4 Elnät,0.1981255875459942,0.00828482868433511,0.4184289094425475,-0.020710009293156695,0.267099441758023,0.04019527741532247,0.03002626887775861,0.026331503695375957
REL00024,Carlfors Bruk,,,,,,,,
REL00025,Degerfors Energi,0.5951987564996264,-0.20571253845056425,-0.0607066485721619,-0.054729391101071556,-0.0006411612860857119,-0.026920072664271544,0.0881571179388585,0.12303681584309167
REL00029,Övertorneå Energi,-0.256531580288355,0.37784259377862117,0.19291846910740595,0.006834878241390729,-0.048653902118400705,-0.027615990392237943,0.2881420575454374,0.16228655711233442
REL00030,Eksjö Elnät,-0.30274247559721745,-0.08826871080480636,1.0975936448165746,0.012172620762707087,-0.007329969341318687,-0.027654430558299303,-0.026146520629877212,0.16251159325493258
REL00031,Emmaboda Elnät,0.7912221167541533,-0.16383433192710406,1.0332379931028424,0.3297917511257298,-0.1740179054512403,-0.03264746135702712,0.11647043543803193,-0.1083521842854207
REL00033,Halmstads Energi,-0.38620463357431634,-0.07422390846678617,-0.2358031184158449,0.006861601395824479,0.05739204492180017,-0.027724038951393304,0.05731563734722167,0.1629190871463848
REL00035,Eskilstuna Energi,0.06277173028539362,-0.11560126744277754,0.07542739570056689,-0.0020615073824226116,-0.11449960303827611,-0.02735231837538432,0.12180246984350163,0.16074289561875954
REL00037,Falbygdens Energi,1.6478277795715313,0.04412339771442397,-0.4628822753680373,0.006457926918912449,0.1401947846081164,-0.02609195180012236,0.17663233028546443,0.03220673433632637
