reid,nf_norm,nf_obs,ug_norm,ug_obs,k_upstream,cemi4_norm,cemi4_obs,aif_a_1_obs,aif_a_2_obs,aif_a_3_obs,aif_a_4_obs,aif_a_5_obs,aif_a_6_obs,aif_o_1_obs,aif_o_2_obs,aif_o_3_obs,aif_o_4_obs,aif_o_5_obs,aif_o_6_obs,aif_a_1_norm,aif_a_2_norm,aif_a_3_norm,aif_a_4_norm,aif_a_5_norm,aif_a_6_norm,aif_o_1_norm,aif_o_2_norm,aif_o_3_norm,aif_o_4_norm,aif_o_5_norm,aif_o_6_norm,ait_a_1_obs,ait_a_2_obs,ait_a_3_obs,ait_a_4_obs,ait_a_5_obs,ait_a_6_obs,ait_o_1_obs,ait_o_2_obs,ait_o_3_obs,ait_o_4_obs,ait_o_5_obs,ait_o_6_obs,ait_a_1_norm,ait_a_2_norm,ait_a_3_norm,ait_a_4_norm,ait_a_5_norm,ait_a_6_norm,ait_o_1_norm,ait_o_2_norm,ait_o_3_norm,ait_o_4_norm,ait_o_5_norm,ait_o_6_norm,e_in,reid_original,year,ame_1,ame_2,ame_3,ame_4,ame_5,ame_6,capcost,kpi,inc_aif_a_1,inc_aif_a_2,inc_aif_a_3,inc_aif_a_4,inc_aif_a_5,inc_aif_a_6,inc_aif_o_1,inc_aif_o_2,inc_aif_o_3,inc_aif_o_4,inc_aif_o_5,inc_aif_o_6,inc_ait_a_1,inc_ait_a_2,inc_ait_a_3,inc_ait_a_4,inc_ait_a_5,inc_ait_a_6,inc_ait_o_1,inc_ait_o_2,inc_ait_o_3,inc_ait_o_4,inc_ait_o_5,inc_ait_o_6,inc_inter,cemi4_diff,cemi4_adj_factor,inter_incentive_a,k_nf,loss_incentive_a,util_incentive_a,max_adj,inter_incentive,loss_incentive,util_incentive,incentive_total_year,incentive_total,inter_incentive_sum,loss_incentive_sum,util_incentive_sum
5,.0348,.029664073,.5064,.45930001,12321000,.0001,0,0,.0027086782261111,.0034403460591392,.0002082999519308,.0293335351125247,,.7840887066336159,.046338590927037,.0476469012512333,.163612546949497,.1147588548619798,,0,.0039,.0283,.0437,.0602,,.595,.2779,.1267,.2077,.2342,,0,.0014153407847844,.0044490213704143,.0001440741334188,.0581813148403829,,.7710205615230555,.0860460221493941,.0818556030352444,.2445787109290394,.1710515873214091,,0,.0075,.0465,.0617,.1104,,.3011,.0738,.0751,.1617,.1947,,142799,5,2025,11.19075342465753,3973.024086757991,3943.63401826484,1809.60502283105,6627.495662100457,,1000000,1.1546,0,113.17798,672.37213,83.600632,436.95795,,-23.894356,75152.836,6399.9829,704.67975,1782.2539,,0,2121.3025,15185.609,5620.3926,1989.9231,,-208.56531,-8985.8506,-5384.9194,-16791.742,1056.8074,,79924.922,.000099999997,.000099999997,79924.922,753.44,414432.63,-580318.94,333333.34,79924.922,333333.34,-333333.34,79924.922,319699.69,319699.69,1333333.4,-1333333.4
5,.0348,.029664073,.5064,.45930001,12321000,.0001,0,0,.0027086782261111,.0034403460591392,.0002082999519308,.0293335351125247,,.7840887066336159,.046338590927037,.0476469012512333,.163612546949497,.1147588548619798,,0,.0039,.0283,.0437,.0602,,.595,.2779,.1267,.2077,.2342,,0,.0014153407847844,.0044490213704143,.0001440741334188,.0581813148403829,,.7710205615230555,.0860460221493941,.0818556030352444,.2445787109290394,.1710515873214091,,0,.0075,.0465,.0617,.1104,,.3011,.0738,.0751,.1617,.1947,,142799,5,2027,11.19075342465753,3973.024086757991,3943.63401826484,1809.60502283105,6627.495662100457,,1000000,1.1546,0,113.17798,672.37213,83.600632,436.95795,,-23.894356,75152.836,6399.9829,704.67975,1782.2539,,0,2121.3025,15185.609,5620.3926,1989.9231,,-208.56531,-8985.8506,-5384.9194,-16791.742,1056.8074,,79924.922,.000099999997,.000099999997,79924.922,753.44,414432.63,-580318.94,333333.34,79924.922,333333.34,-333333.34,79924.922,319699.69,319699.69,1333333.4,-1333333.4
7,.0418,.028790787,.4885,.38690001,5047000,.0001,0,0,.1386869311102933,.034334193104989,.0113722638278558,.0804815646806608,,2,.0869320343109809,.6033312346082207,.3269625136679664,.9877501701315174,,.2487,.0725,.0452,.0268,.1504,,.2626,.0041,.033,.0475,.1455,,0,.0336256052958247,.0220633348107399,.0073810113263601,.0548808942359218,,1.391270480795058,.0495964828949273,.392098697152812,.5702210686114721,.7137258294078263,,.3189,.0837,.0618,.0564,.1959,,.2349,.0026,.0262,.004,.0958,,28655,7,2027,1.558333333333333,518.8775114155251,857.409703196347,221.3287671232877,1583.015182648402,,1000000,1.1546,.76965511,-821.19965,63.895222,3.6270995,236.41774,,-30.572475,-3510.9221,-10038.732,-546.32922,-3001.8733,,8.0903177,2279.9521,3119.8904,547.41315,1283.583,,-71.468666,-4503.7383,-63411.457,-14031.137,-6595.7749,,-99019.57,.000099999997,.000099999997,-99009.672,753.44,210649.95,-512775.16,333333.34,-99009.672,210649.95,-333333.34,-221693.06,-885990.13,-395256.59,842599.81,-1333333.4
7,.0418,.028790787,.4885,.38690001,5047000,.0001,0,0,.1386869311102933,.034334193104989,.0113722638278558,.0804815646806608,,2,.0869320343109809,.6033312346082207,.3269625136679664,.9877501701315174,,.4303,.0725,.0452,.0268,.169,,.2626,.0041,.033,.0475,.1455,,0,.0336256052958247,.0220633348107399,.0073810113263601,.0548808942359218,,1.391270480795058,.0495964828949273,.392098697152812,.5702210686114721,.7137258294078263,,.9086,.0837,.0618,.0564,.2302,,.2349,.0026,.0262,.004,.0958,,28655,7,2024,1.558333333333333,518.8775114155251,857.409703196347,221.3287671232877,1583.015182648402,,1000000,1.1546,1.331655,-821.19965,63.895222,3.6270995,299.31061,,-30.572475,-3510.9221,-10038.732,-546.32922,-3001.8733,,23.050682,2279.9521,3119.8904,547.41315,1595.7881,,-71.468666,-4503.7383,-63411.457,-14031.137,-6595.7749,,-98628.945,.000099999997,.000099999997,-98619.086,753.44,210649.95,-512775.16,333333.34,-98619.086,210649.95,-333333.34,-221302.47,-885990.13,-395256.59,842599.81,-1333333.4
7,.0418,.028790787,.4885,.38690001,5047000,.0001,0,0,.1386869311102933,.034334193104989,.0113722638278558,.0804815646806608,,2,.0869320343109809,.6033312346082207,.3269625136679664,.9877501701315174,,.3092,.0725,.0452,.0268,.1566,,.2626,.0041,.033,.0475,.1455,,0,.0336256052958247,.0220633348107399,.0073810113263601,.0548808942359218,,1.391270480795058,.0495964828949273,.392098697152812,.5702210686114721,.7137258294078263,,.5155,.0837,.0618,.0564,.2074,,.2349,.0026,.0262,.004,.0958,,28655,7,2026,1.558333333333333,518.8775114155251,857.409703196347,221.3287671232877,1583.015182648402,,1000000,1.1546,.95688522,-821.19965,63.895222,3.6270995,257.38202,,-30.572475,-3510.9221,-10038.732,-546.32922,-3001.8733,,13.077951,2279.9521,3119.8904,547.41315,1388.2582,,-71.468666,-4503.7383,-63411.457,-14031.137,-6595.7749,,-98888.758,.000099999997,.000099999997,-98878.867,753.44,210649.95,-512775.16,333333.34,-98878.867,210649.95,-333333.34,-221562.25,-885990.13,-395256.59,842599.81,-1333333.4
7,.0418,.028790787,.4885,.38690001,5047000,.0001,0,0,.1386869311102933,.034334193104989,.0113722638278558,.0804815646806608,,2,.0869320343109809,.6033312346082207,.3269625136679664,.9877501701315174,,.3698,.0725,.0452,.0268,.1628,,.2626,.0041,.033,.0475,.1455,,0,.0336256052958247,.0220633348107399,.0073810113263601,.0548808942359218,,1.391270480795058,.0495964828949273,.392098697152812,.5702210686114721,.7137258294078263,,.7121,.0837,.0618,.0564,.2188,,.2349,.0026,.0262,.004,.0958,,28655,7,2025,1.558333333333333,518.8775114155251,857.409703196347,221.3287671232877,1583.015182648402,,1000000,1.1546,1.1444248,-821.19965,63.895222,3.6270995,278.34631,,-30.572475,-3510.9221,-10038.732,-546.32922,-3001.8733,,18.065584,2279.9521,3119.8904,547.41315,1492.0232,,-71.468666,-4503.7383,-63411.457,-14031.137,-6595.7749,,-98758.852,.000099999997,.000099999997,-98748.977,753.44,210649.95,-512775.16,333333.34,-98748.977,210649.95,-333333.34,-221432.38,-885990.13,-395256.59,842599.81,-1333333.4
8,.0318,.033969928,.322,.23549999,19859000,.1964,.2282814765250362,.1939366333677001,.4489801443077763,.035031818467728,.0149277147210249,.0979554927205166,,3.611720379402206,2.738774589097344,2.400132074116092,2.490092998132456,2.725563368175703,,.1201,.0408,.043,.0512,.1214,.3333,2.2493,.9271,1.0197,1.089,1.5375,.3333,.4506799890882962,3.333303804379405,.0485673294752787,.0451046119310107,.2046627147090283,,1.395281129147133,1.198583011154958,.635449874403647,.6703296680316125,.8926448588888339,,.3451,.0491,.0733,.1041,.212,2.2111,.9787,.5747,.8552,.9167999999999999,1.2643,.1611,261967,8,2025,241.5961187214612,1931.326826484018,4235.894748858447,1301.003196347032,9594.998059360731,,1000000,1.1546,-35.42598,-18850.346,231.48476,50.12711,480.49545,,-3716.8198,-285820.91,-120039.32,-16100.462,-25665.555,,-415.26205,-556584.38,9593.4688,3872.6604,404.80066,,-3991.6077,-222536.83,188145.05,35901.449,24045.258,,-991032.19,-.031881478,.031881478,-991032.19,753.44,-321219.41,-1717803.6,333333.34,-333333.34,-321219.41,-333333.34,-333333.34,-1333333.4,-1333333.4,-1284877.6,-1333333.4
8,.0318,.033969928,.322,.23549999,19859000,.1964,.2282814765250362,.1939366333677001,.4489801443077763,.035031818467728,.0149277147210249,.0979554927205166,,3.611720379402206,2.738774589097344,2.400132074116092,2.490092998132456,2.725563368175703,,.1201,.0408,.043,.0512,.1214,.3333,1.5765,.7573,.8697,.8844,1.1877,.3333,.4506799890882962,3.333303804379405,.0485673294752787,.0451046119310107,.2046627147090283,,1.395281129147133,1.198583011154958,.635449874403647,.6703296680316125,.8926448588888339,,.3451,.0491,.0733,.1041,.212,2.2111,.9787,.5747,.8552,.8984,1.2643,.1611,261967,8,2027,241.5961187214612,1931.326826484018,4235.894748858447,1301.003196347032,9594.998059360731,,1000000,1.1546,-35.42598,-18850.346,231.48476,50.12711,480.49545,,-5552.2856,-312609.59,-133082.98,-18451.594,-33222.234,,-415.26205,-556584.38,9593.4688,3872.6604,404.80066,,-3991.6077,-222536.83,188145.05,33221.262,24045.258,,-1045288.1,-.031881478,.031881478,-1045288.1,753.44,-321219.41,-1717803.6,333333.34,-333333.34,-321219.41,-333333.34,-333333.34,-1333333.4,-1333333.4,-1284877.6,-1333333.4
8,.0318,.033969928,.322,.23549999,19859000,.1964,.2282814765250362,.1939366333677001,.4489801443077763,.035031818467728,.0149277147210249,.0979554927205166,,3.611720379402206,2.738774589097344,2.400132074116092,2.490092998132456,2.725563368175703,,.1201,.0408,.043,.0512,.1214,.3333,2.5858,1.012,1.0947,1.1912,1.7123,.3333,.4506799890882962,3.333303804379405,.0485673294752787,.0451046119310107,.2046627147090283,,1.395281129147133,1.198583011154958,.635449874403647,.6703296680316125,.8926448588888339,,.3451,.0491,.0733,.1041,.212,2.2111,.9787,.5747,.8552,.926,1.2643,.1611,261967,8,2024,241.5961187214612,1931.326826484018,4235.894748858447,1301.003196347032,9594.998059360731,,1000000,1.1546,-35.42598,-18850.346,231.48476,50.12711,480.49545,,-2798.814,-272426.56,-113517.48,-14926.045,-21889.377,,-415.26205,-556584.38,9593.4688,3872.6604,404.80066,,-3991.6077,-222536.83,188145.05,37241.543,24045.258,,-963907.13,-.031881478,.031881478,-963907.13,753.44,-321219.41,-1717803.6,333333.34,-333333.34,-321219.41,-333333.34,-333333.34,-1333333.4,-1333333.4,-1284877.6,-1333333.4
8,.0318,.033969928,.322,.23549999,19859000,.1964,.2282814765250362,.1939366333677001,.4489801443077763,.035031818467728,.0149277147210249,.0979554927205166,,3.611720379402206,2.738774589097344,2.400132074116092,2.490092998132456,2.725563368175703,,.1201,.0408,.043,.0512,.1214,.3333,1.9129,.8421999999999999,.9447,.9867,1.3626,.3333,.4506799890882962,3.333303804379405,.0485673294752787,.0451046119310107,.2046627147090283,,1.395281129147133,1.198583011154958,.635449874403647,.6703296680316125,.8926448588888339,,.3451,.0491,.0733,.1041,.212,2.2111,.9787,.5747,.8552,.9076,1.2643,.1611,261967,8,2026,241.5961187214612,1931.326826484018,4235.894748858447,1301.003196347032,9594.998059360731,,1000000,1.1546,-35.42598,-18850.346,231.48476,50.12711,480.49545,,-4634.5527,-299215.25,-126561.16,-17276.027,-29443.895,,-415.26205,-556584.38,9593.4688,3872.6604,404.80066,,-3991.6077,-222536.83,188145.05,34561.355,24045.258,,-1018160.1,-.031881478,.031881478,-1018160.1,753.44,-321219.41,-1717803.6,333333.34,-333333.34,-321219.41,-333333.34,-333333.34,-1333333.4,-1333333.4,-1284877.6,-1333333.4
11,.0578,.046554986,.4593,.38240001,13471000,.0274,.1438519697572622,.4004261339552652,.1998693608083599,.1389202882424975,.3010803722106408,.3649883921983406,,1.299969669510699,1.342005857062113,.5168950568178816,.6711883676337668,1.005272604294548,,.2745,.179,.1389,.0762,.2082,,.5647,.8046,.625,.6004,.6048,,.7003163162333427,.6365905543159192,.1510574449013309,.276708917415982,.5636702963366336,,.982209836749124,1.194726578219646,.5724450581096999,.976769113413481,1.136967635095971,,.4073,.2368,.2051,.0837,.4043,,.6589,.6756,.5991,.5556,.6524,,72409,11,2025,302.9788812785388,1167.774200913242,799.7293378995433,546.2243150684932,5065.578310502283,,1000000,1.1546,-75.768417,-582.74652,-.11127701,-130.4794,-1696.4702,,-2515.5295,-51264.801,1774.8102,-341.52768,-4567.3892,,-1445.2894,-40967.227,3957.6594,-5319.3848,-4641.9165,,-3884.9871,-111963.15,4308.6304,-25757.072,-16551.137,,-261663.91,-.11645197,.11645197,-261663.91,753.44,460110.84,-1035919.8,333333.34,-261663.91,333333.34,-333333.34,-261663.91,-1046655.6,-1046655.6,1333333.4,-1333333.4
11,.0578,.046554986,.4593,.38240001,13471000,.0274,.1438519697572622,.4004261339552652,.1998693608083599,.1389202882424975,.3010803722106408,.3649883921983406,,1.299969669510699,1.342005857062113,.5168950568178816,.6711883676337668,1.005272604294548,,.2745,.179,.1389,.0762,.2082,,.5647,.8046,.625,.6004,.6048,,.7003163162333427,.6365905543159192,.1510574449013309,.276708917415982,.5636702963366336,,.982209836749124,1.194726578219646,.5724450581096999,.976769113413481,1.136967635095971,,.4073,.2368,.2051,.0837,.4043,,.6589,.6756,.5991,.5556,.6524,,72409,11,2026,302.9788812785388,1167.774200913242,799.7293378995433,546.2243150684932,5065.578310502283,,1000000,1.1546,-75.768417,-582.74652,-.11127701,-130.4794,-1696.4702,,-2515.5295,-51264.801,1774.8102,-341.52768,-4567.3892,,-1445.2894,-40967.227,3957.6594,-5319.3848,-4641.9165,,-3884.9871,-111963.15,4308.6304,-25757.072,-16551.137,,-261663.91,-.11645197,.11645197,-261663.91,753.44,460110.84,-1035919.8,333333.34,-261663.91,333333.34,-333333.34,-261663.91,-1046655.6,-1046655.6,1333333.4,-1333333.4
