REId,name_short,E2_2in,E1_1in,phi_input
REL00590,LKAB Nät,0.70715925,0.64826413,-0.05889511999999997
REL00594,VänerEnergi,0.83682759,0.83277951,-0.0040480800000000094
REL00824,Skellefteå Kraft,1.0,1.0,0.0
REL00885,Gävle Energi,0.90079423,0.89457287,-0.006221360000000065
REL00886,Kraftringen,0.7935473,0.78255153,-0.01099576999999996
REL00899,Kvänumbygdens Energi,1.0,1.0,0.0
REL00904,Öresundskraft,0.8432181,0.8401326,-0.0030854999999999633
REL00936,Njudung Vetlanda,0.91773024,0.87100244,-0.046727799999999986
REL00937,Tranås Energi,0.72484214,0.70924611,-0.015596029999999983
REL00938,Hedemora Elnät,0.70571299,0.65673916,-0.048973829999999996
REL00944,Linde Energi,1.0,1.0,0.0
REL00945,Gotlands Elnät,0.80750987,0.74312897,-0.06438089999999996
REL00958,Vimmerby Energi,0.78746492,0.78734985,-0.0001150699999999949
REL00959,Åsele Elnät,1.0,0.94127234,-0.05872765999999996
REL00965,Sörbylunds Elnät,,,
REL01010,Sandviken Energi,0.79430945,0.7825944,-0.011715049999999949
REL01012,Brittedals Elnät,0.76615878,0.73507761,-0.03108116999999999
REL03009,Dala Energi,0.78311845,0.76022507,-0.022893380000000074
REL03015,Falu Elnät,0.79974798,0.73067811,-0.06906986999999998
REL03016,Vaggeryds Elverk,1.0,1.0,0.0
REL03019,Trelleborgs Elnät,0.70374277,0.70284421,-0.0008985599999999927
REL03028,E.ON,1.0,0.93766163,-0.062338369999999976
REL03030,Vattenfall,0.94444039,0.86610559,-0.07833480000000004
REL03035,Ellevio,0.98089851,0.91890639,-0.061992119999999984
REL03038,Lidköping Elnät,0.96276348,0.92403915,-0.038724329999999973
REL03041,Hjo Elnät,0.82487849,0.82456569,-0.00031280000000000197
REL03042,Skara Elnät,1.0,1.0,0.0
REL03043,Karlsborgs Elnät,0.77882507,0.77858782,-0.00023724999999996665
REL03044,Ulricehamn Energi,0.82306178,0.77764988,-0.04541189999999995
REL03047,Karlshamn Elnät,0.96408022,0.96002403,-0.004056190000000015
REL03049,Alingsås Energi,0.75465443,0.75442099,-0.00023344000000002918
REL03050,Näckåns Elnät (Viggafors),1.0,1.0,0.0
