reid,nf_norm,nf_obs,ug_norm,ug_obs,k_upstream,cemi4_norm,cemi4_obs,aif_a_1_obs,aif_a_2_obs,aif_a_3_obs,aif_a_4_obs,aif_a_5_obs,aif_a_6_obs,aif_o_1_obs,aif_o_2_obs,aif_o_3_obs,aif_o_4_obs,aif_o_5_obs,aif_o_6_obs,aif_a_1_norm,aif_a_2_norm,aif_a_3_norm,aif_a_4_norm,aif_a_5_norm,aif_a_6_norm,aif_o_1_norm,aif_o_2_norm,aif_o_3_norm,aif_o_4_norm,aif_o_5_norm,aif_o_6_norm,ait_a_1_obs,ait_a_2_obs,ait_a_3_obs,ait_a_4_obs,ait_a_5_obs,ait_a_6_obs,ait_o_1_obs,ait_o_2_obs,ait_o_3_obs,ait_o_4_obs,ait_o_5_obs,ait_o_6_obs,ait_a_1_norm,ait_a_2_norm,ait_a_3_norm,ait_a_4_norm,ait_a_5_norm,ait_a_6_norm,ait_o_1_norm,ait_o_2_norm,ait_o_3_norm,ait_o_4_norm,ait_o_5_norm,ait_o_6_norm,e_in,reid_original,year,ame_1,ame_2,ame_3,ame_4,ame_5,ame_6,capcost
29,.0491,.058466185,.442,.36000001,9378000,.2241,.0097601784718349,.1281591074460344,.1202590735544414,.2314180294224874,.1384688761053419,.2728455062515105,,.9461816809864346,.6460718524311149,.7121738137553861,.4406303133196114,1.013306010068969,,.3021,.1239,.2473,.1945,.2894,,1.9365,2.0208,2.0025,2.2484,2.0533,,.1281591074460344,.1381663063311714,.2885156590177289,.1491838338057086,.3327759949668586,,1.544452872160851,1.056687342257388,1.298100836132892,.9538204621445923,1.960461083931953,,.4548,.1623,.465,.2385,.4304,,2.5178,2.5008,2.4734,2.7498,2.6271,,59590,29,2024,232.9777397260274,620.4052511415525,880.7989726027397,632.591095890411,3858.866666666667,,1000000
30,.0296,.025819136,.4789,.58209997,17015000,0,.0001523229246002,0,0,0,0,.0028541865162274,,.8147413897238034,.0453116797635341,.0800451682895049,.0823530645117525,.1016087632958061,,.2521,.2011,.1876,.202,.2413,,.341,.1967,.0876,.0859,.2268,,0,0,0,0,.0028541865162274,,1.833612822389442,.0929666022196274,.1584192838341879,.178018731751517,.2168116337876351,,.0663,.065,.0629,.0627,.174,,.4654,.216,.0811,.0915,.2637,,92567,30,2024,32.13082191780822,2587.106506849315,2484.771461187215,1851.13698630137,3218.175799086758,,1000000
31,.0273,.02369239,.6511,.60869998,13627000,.0055,.0003229974160207,0,.0027914174824011,.0574023882795631,.0028893504590072,.0677316180597176,,1.794789709327951,.2153101098741166,.6126263486573027,.4924121747580006,.8170682184464267,,.0716,.0019,.0366,.0803,.0784,,.9681999999999999,.1612,.2507,.0871,.2583,,0,.0055259554852161,.0797298815949757,.0052697883881679,.1393711575237882,,1.747288143456979,.226288643420348,.574677039069733,.3229166334550371,.7627147189296376,,.0303,.0019,.0808,.0798,.1204,,.5859,.188,.2098,.0848,.2378,,97162,31,2024,4.920890410958904,7490.670662100457,1063.536643835616,465.4551369863014,2156.114155251142,,1000000
33,.0266,.021097891,.553,.4844,92642000,.0036,0,.109546967899624,.0065042247598299,.018613251795479,.0242376505011508,.0729581343276993,,.012041374136446,.0416838738540552,.1340574930015849,.0675587002525836,.1004972274810171,,.0289,.0946,.0162,.0241,.0843,0,1.017,.3816,.4075,.3219,.6087,.0801,.2185415778175184,.0323957667406533,.0147221788250933,.0260757620537874,.1374782388029853,,.0189316031790972,.042320700040397,.1254809797574783,.0572490847946855,.1054108217797598,,.0441,.057,.0187,.0289,.1246,0,.3281,.3551,.2142,.1686,.3024,.0093,744719,33,2024,382.2342465753425,33165.55285388128,23058.34349315069,6125.10296803653,20562.42123287671,,1000000
35,.0302,.02793281,.52,.47850001,51161000,.0066,.0001006988500191,.0666074493501004,.0073162703696903,.0208654037338171,.0460518889974804,.0403073606175931,,.1544334780809615,.1232445556211933,.1485291483579687,.074462291713108,.2120780279020164,,.0908,.0108,.0182,.0177,.0512,,.3281,.1186,.2823,.2724,.4116,,.1406620002078535,.0244272316884836,.0482034330920642,.0778143768722546,.0755519194511362,,.2530339066218249,.1548255353925244,.1389339877848404,.0659795478644943,.1775474905132561,,.1839,.0125,.0287,.0314,.0957,,.6718,.1355,.2675,.2492,.4385,,594677,35,2024,436.4390410958904,14715.91860730594,22755.64440639269,7916.970319634704,20221.49840182648,,1000000
37,.0372,.035547286,.3939,.29100001,33697000,.0621,.0281714583212819,.0691009436979354,.0024403810939982,.0065833967046668,.0047195661380308,.0371977299639367,,1.080129427232717,.0966750603805978,.1852364101391508,.2073406408500476,.4809793243423067,,.1007,.0029,.0146,.0136,.0306,,1.7155,.3832,.6076,.6715,.9566,,.1075253840699997,.0025479649428799,.0079265156342914,.0096845228231244,.0618862785513979,,.8298205312256228,.0373807521683507,.092139506641262,.0954962553580036,.3675312329240577,,.2312,.0039,.0297,.0353,.0685,,1.7268,.1854,.3808,.5354,.8298,,345596,37,2024,2810.944634703196,11003.87682648402,6375.350456621005,2014.928652968036,11712.52488584475,,1000000
38,.0264,.019581994,.5394,.46090001,40207000,.0016,0,0,.0012313073374143,.0022275154457293,.0069112496575482,.0452320247155033,,.2940560928058068,.3050343067816118,.2103170408628696,.2026679670977457,.2247136854070523,,.1083,.1483,.0639,.042,.0703,,.6415999999999999,.0226,.0989,.1617,.1443,,0,.0009830821401309,.0040209774712588,.0199218871998591,.1082991915432151,,.2946322406661461,.3195297018889623,.1624822534545515,.1675579115688101,.2159531868686599,,.2037,.5566,.0702,.0687,.3748,,.6016,.032,.1087,.1271,.1276,,326933,38,2024,429.6003424657534,14517.46130136986,10559.91529680365,1987.164497716895,9042.445205479453,,1000000
40,.0338,.028287612,.5311,.4377,6378000,0,0,0,.0001132364746026,.0018713976132239,.0379245515010567,.050388756283295,,0,0,.0019745448093676,.004311853235151,.0068013239977197,,0,.005,.0232,.0096,.0256,,0,0,.0118,.0021,.0175,,0,.0000197967139508,.0041734049762414,.0051739226234451,.0186093214987564,,0,0,.0019745448093676,.004311853235151,.0128547355124031,,0,.004,.0224,.0053,.0246,,0,0,.0214,.0042,.0238,,56173,40,2024,.6268264840182648,1982.959817351598,1277.15696347032,543.1295662100457,2426.820662100457,,1000000
43,.0292,.031572059,.57,.46250001,17645000,0,.0015411712901805,.0049145148411805,.0001602977004865,0,0,.0026812065143238,,2.600758800273586,2.480365034770404,2.214451241294788,2.768778827868409,2.653057604178551,,0,.0636,.1573,.0585,.119,,.1515,.0541,.1168,.1434,.1565,,.0057336006480439,.0001870139839009,0,0,.0031280742667111,,1.976151329297713,1.310162937931155,1.105986421152345,1.345388962391302,1.49664480278379,,0,.0282,.0841,.0248,.1044,,.1957,.0784,.1688,.1283,.151,,139047,43,2024,111.6578767123288,7404.886643835616,2997.404109589041,903.548401826484,4070.187671232877,,1000000
49,.0422,.028430436,.4408,.43970001,5605000,.0645,.0298578199052133,.8936491392455088,.2987729012285024,.68073087713257,.6987952042730501,.6922844204130046,,1.248840958524973,.2699751287904985,.5053345736949325,.2735689862198203,.6328654693065093,,.3707,.1051,.0997,.027,.2238,,1.2561,.4312,.5256,.2704,.8129,,2.177863776889169,.7613624728881697,1.438065587010804,2.160064690880121,1.621460618804601,,3.080103896375851,.6610764986424409,.9951001665157516,.3091205885777435,1.542862232818232,,.8178,.2054,.2171,.0444,.4748,,1.5773,.5397,.6446,.317,1.1863,,121384,49,2024,1115.731621004566,357.8251141552511,967.337100456621,584.0149543378996,2979.016666666667,,1000000
62,.0265,.022568164,.6403,.60549998,287368992,.0073,.0009914565196559,.3312575404511863,.0526244675711011,.2001807840927682,.1861768490954433,.3670317141931527,,.7208821193947901,.1183257263842805,.3159195719087521,.2791715844493018,.4230073828063637,,.0954,.0202,.0413,.0666,.0637,,.9469,.3335,.4926,.4557,.5881999999999999,,.1533791411788261,.0224523064495382,.0561774617854797,.0557803041764362,.1426181819867682,,.3627321379974002,.084731495567783,.1932371908465783,.181294688452164,.2792222634435062,,.1281,.0314,.0692,.1227,.087,,.9577,.2003,.2471,.2447,.3578,,4410638,62,2024,285.6549086757991,160497.8005707762,190468.5045662101,33188.0401826484,100846.9113013699,,1000000
64,.0404,.03254668,.4829,.39700001,11863000,.01,.091812865497076,.753692534793438,.1071423068055116,.4117083722539665,.1642613850458583,1.022419959905114,0,2.374486652244549,1.389579522204454,.7063664593489305,.4139215958106777,1.354738356137543,3,.0763,.1172,.0405,.007,.0484,,.4482,.3719,.1597,.0767,.3069,,.1563153710395885,.0318640600493766,.1444293682396878,.1013032724996946,.2677883940746318,0,1.794625611853419,1.884534414614255,1.26204041231667,.4960591039660314,1.342553580757823,8.300000000000001,.1295,.3296,.0764,.0142,.094,,.6257,.4236,.1441,.0834,.3192,,93773,64,2024,239.8860730593607,3178.089840182648,1273.422374429224,508.05399543379,5237.632534246575,89.84474885844749,1000000
