subset_mask,players,REId,super_eff,eff,requirement_pp
0,(baseline),REL00001,0.6704317641254423,0.6704317641254423,1.6352773587699154
0,(baseline),REL00003,1.287035982107468,1.0,-0.3862046335743163
0,(baseline),REL00004,0.7180385206799622,0.7180385206799622,1.350674124709439
0,(baseline),REL00005,0.7653288030756834,0.7653288030756834,1.0655690498745596
0,(baseline),REL00007,0.7069865386735492,0.7069865386735492,1.4169589557065487
0,(baseline),REL00008,0.6433972051354818,0.6433972051354818,1.795837131104805
0,(baseline),REL00010,0.7221525979474213,0.7221525979474213,1.3259664634293955
0,(baseline),REL00011,0.6201382237828861,0.6201382237828861,1.8244601098569957
0,(baseline),REL00012,0.7565119467160546,0.7565119467160546,1.1189074521764877
0,(baseline),REL00014,0.7002529654587385,0.7002529654587385,1.4572802675880236
0,(baseline),REL00015,1.0841053198121977,1.0,-0.3862046335743163
0,(baseline),REL00016,1.0810234001851238,1.0,-0.3862046335743163
0,(baseline),REL00017,0.7674903323178404,0.7674903323178404,1.0524797632176508
0,(baseline),REL00018,0.8095094405394734,0.8095094405394734,0.7970137289596169
0,(baseline),REL00019,0.8253327563325232,0.8253327563325232,0.7003063323082426
0,(baseline),REL00021,0.8428734248846605,0.8428734248846605,0.592776428387598
0,(baseline),REL00023,0.9067698767720624,0.9067698767720624,0.1981255875459942
0,(baseline),REL00025,0.8424788991667722,0.8424788991667722,0.5951987564996264
0,(baseline),REL00029,0.9794516911655208,0.9794516911655208,-0.256531580288355
0,(baseline),REL00030,0.9867835804549886,0.9867835804549886,-0.3027424755972174
0,(baseline),REL00031,0.8104583515028457,0.8104583515028457,0.7912221167541533
0,(baseline),REL00033,1.30298587742371,1.0,-0.3862046335743163
0,(baseline),REL00035,0.9285113661536378,0.9285113661536378,0.0627717302853936
0,(baseline),REL00037,0.6683231722533938,0.6683231722533938,1.6478277795715313
0,(baseline),REL00038,0.9214682803697204,0.9214682803697204,0.1066793432023871
0,(baseline),REL00040,0.6399746339102395,0.6399746339102395,1.816109935844912
0,(baseline),REL00043,0.9957669498096026,0.9957669498096026,-0.3594499394365402
0,(baseline),REL00049,0.7488380871536655,0.7488380871536655,1.1652626201682723
0,(baseline),REL00062,1.0465537411752324,1.0,-0.3862046335743163
0,(baseline),REL00064,0.7059783977450561,0.7059783977450561,1.422998863600422
0,(baseline),REL00067,1.0087775666762766,1.0,-0.3862046335743163
0,(baseline),REL00072,0.9638684547781642,0.9638684547781642,-0.1585274567062033
0,(baseline),REL00074,0.823237061722114,0.823237061722114,0.7131306360206535
0,(baseline),REL00075,0.9161526550216202,0.9161526550216202,0.1397794492578485
0,(baseline),REL00077,0.7539162226845938,0.7539162226845938,1.134594505330777
0,(baseline),REL00078,0.6032006416278861,0.6032006416278861,1.8244601098569957
0,(baseline),REL00080,0.835110550312569,0.835110550312569,0.6404078446644368
0,(baseline),REL00083,0.646964047313884,0.646964047313884,1.77469694141279
0,(baseline),REL00085,0.676776018835748,0.676776018835748,1.5974879773780648
0,(baseline),REL00086,0.8558694095179201,0.8558694095179201,0.5128838529746771
0,(baseline),REL00087,0.9740896789636818,0.9740896789636818,-0.2227769164262483
0,(baseline),REL00090,0.7854963547314897,0.7854963547314897,0.9432449494156224
0,(baseline),REL00091,0.6806733765796711,0.6806733765796711,1.574252552473232
0,(baseline),REL00092,0.8508113682641602,0.8508113682641602,0.5440006872844627
0,(baseline),REL00093,0.97190850992196,0.97190850992196,-0.2090559180899842
0,(baseline),REL00098,0.696104693000282,0.696104693000282,1.4820966854006468
0,(baseline),REL00100,0.8174433343438138,0.8174433343438138,0.7485589779334889
0,(baseline),REL00103,1.0001947279933474,1.0,-0.3862046335743163
0,(baseline),REL00106,0.7931142448841023,0.7931142448841023,0.8969235278882604
0,(baseline),REL00111,1.061553281918216,1.0,-0.3862046335743163
0,(baseline),REL00112,1.04570203237397,1.0,-0.3862046335743163
0,(baseline),REL00113,0.7674420934987237,0.7674420934987237,1.0527719391960844
0,(baseline),REL00118,0.8885165523588366,0.8885165523588366,0.3113414614993148
0,(baseline),REL00121,0.8698220010023298,0.8698220010023298,0.4268980050999627
0,(baseline),REL00123,0.7752196283184719,0.7752196283184719,1.0056328188180252
