subset_mask,players,REId,super_eff,eff
0,(baseline),REL00001,0.6704317641254423,0.6704317641254423
0,(baseline),REL00003,1.287035982107468,1.0
0,(baseline),REL00004,0.7180385206799622,0.7180385206799622
0,(baseline),REL00005,0.7653288030756834,0.7653288030756834
0,(baseline),REL00007,0.7069865386735492,0.7069865386735492
0,(baseline),REL00008,0.6433972051354818,0.6433972051354818
0,(baseline),REL00010,0.7221525979474213,0.7221525979474213
0,(baseline),REL00011,0.6201382237828861,0.6201382237828861
0,(baseline),REL00012,0.7565119467160546,0.7565119467160546
0,(baseline),REL00014,0.7002529654587385,0.7002529654587385
0,(baseline),REL00015,1.0841053198121975,1.0
0,(baseline),REL00016,1.0810234001851238,1.0
0,(baseline),REL00017,0.7674903323178404,0.7674903323178404
0,(baseline),REL00018,0.8095094405394734,0.8095094405394734
0,(baseline),REL00019,0.8253327563325232,0.8253327563325232
0,(baseline),REL00021,0.8428734248846605,0.8428734248846605
0,(baseline),REL00023,0.9067698767720624,0.9067698767720624
0,(baseline),REL00025,0.8424788991667722,0.8424788991667722
0,(baseline),REL00029,0.9794516911655208,0.9794516911655208
0,(baseline),REL00030,0.9867835804549886,0.9867835804549886
0,(baseline),REL00031,0.8104583515028457,0.8104583515028457
0,(baseline),REL00033,1.30298587742371,1.0
0,(baseline),REL00035,0.9285113661536378,0.9285113661536378
0,(baseline),REL00037,0.6683231722533938,0.6683231722533938
0,(baseline),REL00038,0.9214682803697204,0.9214682803697204
0,(baseline),REL00040,0.6399746339102395,0.6399746339102395
0,(baseline),REL00043,0.9957669498096026,0.9957669498096026
0,(baseline),REL00049,0.7488380871536655,0.7488380871536655
0,(baseline),REL00062,1.0465537411752324,1.0
0,(baseline),REL00064,0.7059783977450561,0.7059783977450561
0,(baseline),REL00067,1.0087775666762766,1.0
0,(baseline),REL00072,0.9638684547781642,0.9638684547781642
0,(baseline),REL00074,0.823237061722114,0.823237061722114
0,(baseline),REL00075,0.9161526550216202,0.9161526550216202
0,(baseline),REL00077,0.7539162226845938,0.7539162226845938
0,(baseline),REL00078,0.6032006416278861,0.6032006416278861
0,(baseline),REL00080,0.835110550312569,0.835110550312569
0,(baseline),REL00083,0.646964047313884,0.646964047313884
0,(baseline),REL00085,0.676776018835748,0.676776018835748
0,(baseline),REL00086,0.8558694095179201,0.8558694095179201
0,(baseline),REL00087,0.9740896789636818,0.9740896789636818
0,(baseline),REL00090,0.7854963547314897,0.7854963547314897
0,(baseline),REL00091,0.6806733765796711,0.6806733765796711
0,(baseline),REL00092,0.8508113682641602,0.8508113682641602
0,(baseline),REL00093,0.9719085099219599,0.9719085099219599
0,(baseline),REL00098,0.696104693000282,0.696104693000282
0,(baseline),REL00100,0.8174433343438138,0.8174433343438138
0,(baseline),REL00103,1.0001947279933474,1.0
0,(baseline),REL00106,0.7931142448841023,0.7931142448841023
0,(baseline),REL00111,1.0615532819182159,1.0
0,(baseline),REL00112,1.04570203237397,1.0
0,(baseline),REL00113,0.7674420934987237,0.7674420934987237
0,(baseline),REL00118,0.8885165523588366,0.8885165523588366
0,(baseline),REL00121,0.8698220010023298,0.8698220010023298
0,(baseline),REL00123,0.7752196283184719,0.7752196283184719
0,(baseline),REL00126,0.6777051481040096,0.6777051481040096
0,(baseline),REL00127,0.6866352264016606,0.6866352264016606
0,(baseline),REL00128,0.9976270631280427,0.9976270631280427
0,(baseline),REL00130,0.686310427182714,0.686310427182714
0,(baseline),REL00133,0.8200474218035474,0.8200474218035474
0,(baseline),REL00135,0.819875697719999,0.819875697719999
0,(baseline),REL00137,0.8084191221079758,0.8084191221079758
0,(baseline),REL00139,0.7699662848216754,0.7699662848216754
0,(baseline),REL00141,0.9916658104378254,0.9916658104378254
0,(baseline),REL00143,0.9135959391460655,0.9135959391460655
0,(baseline),REL00144,0.6271768675074405,0.6271768675074405
0,(baseline),REL00146,0.9806006884524299,0.9806006884524299
0,(baseline),REL00147,1.0339780110022263,1.0
0,(baseline),REL00148,0.804527965269202,0.804527965269202
0,(baseline),REL00149,0.976807431861327,0.976807431861327
0,(baseline),REL00152,0.7197874885183716,0.7197874885183716
0,(baseline),REL00156,0.6445484919741358,0.6445484919741358
0,(baseline),REL00157,0.9412932617695927,0.9412932617695927
0,(baseline),REL00158,1.039730336038507,1.0
0,(baseline),REL00160,0.7227636347660531,0.7227636347660531
0,(baseline),REL00163,0.7219214104786452,0.7219214104786452
0,(baseline),REL00164,0.775880944029526,0.775880944029526
0,(baseline),REL00167,0.9198044813879737,0.9198044813879737
0,(baseline),REL00168,0.8603342720008836,0.8603342720008836
0,(baseline),REL00169,0.9127266546111877,0.9127266546111877
0,(baseline),REL00170,0.962748643840223,0.962748643840223
0,(baseline),REL00171,0.9184162593893597,0.9184162593893597
0,(baseline),REL00173,0.980395708912168,0.980395708912168
0,(baseline),REL00175,0.7256403251175516,0.7256403251175516
0,(baseline),REL00177,0.8806623521316032,0.8806623521316032
0,(baseline),REL00178,0.7694897579475202,0.7694897579475202
0,(baseline),REL00182,0.906710569337607,0.906710569337607
0,(baseline),REL00183,0.8114083921040237,0.8114083921040237
0,(baseline),REL00184,0.7235403816180638,0.7235403816180638
0,(baseline),REL00185,0.7943508420957207,0.7943508420957207
0,(baseline),REL00186,0.9967066474150543,0.9967066474150543
0,(baseline),REL00187,0.874686639429404,0.874686639429404
0,(baseline),REL00191,1.025065876957887,1.0
0,(baseline),REL00193,0.7568224503424968,0.7568224503424968
0,(baseline),REL00195,0.9196879107082955,0.9196879107082955
0,(baseline),REL00201,0.8805812591360065,0.8805812591360065
0,(baseline),REL00203,0.8423780661208103,0.8423780661208103
0,(baseline),REL00204,0.8636336687028408,0.8636336687028408
0,(baseline),REL00205,0.691625492555922,0.691625492555922
0,(baseline),REL00235,0.9139604196071442,0.9139604196071442
0,(baseline),REL00239,0.9318178709481693,0.9318178709481693
0,(baseline),REL00242,0.7258273496097282,0.7258273496097282
0,(baseline),REL00243,0.8248939419022377,0.8248939419022377
0,(baseline),REL00244,0.7843409350058,0.7843409350058
0,(baseline),REL00246,0.7135299522010692,0.7135299522010692
0,(baseline),REL00249,0.7992406683525725,0.7992406683525725
0,(baseline),REL00255,1.0616293686818665,1.0
0,(baseline),REL00267,0.8534015632007269,0.8534015632007269
