subset_mask,players,REId,peer_REId,is_self,lambda_weight
0,(baseline),REL00064,REL00015,False,0.0257494320930491
0,(baseline),REL00064,REL00158,False,0.4532253105810721
0,(baseline),REL00064,REL00824,False,0.034029968775192244
0,(baseline),REL00064,REL03042,False,0.09147435325712702
0,(baseline),REL00067,REL00067,True,1.0
0,(baseline),REL00072,REL00003,False,5.465345703494933
0,(baseline),REL00072,REL00033,False,0.008309756322326693
0,(baseline),REL00072,REL00158,False,0.12024956761154253
0,(baseline),REL00072,REL00824,False,0.013379664580397542
0,(baseline),REL00072,REL03042,False,0.25626085104947194
0,(baseline),REL00074,REL00003,False,1.9511982274764204
0,(baseline),REL00074,REL00158,False,0.09194656224545962
0,(baseline),REL00074,REL00191,False,0.024010052234400756
0,(baseline),REL00074,REL03050,False,1.7163711095038137
0,(baseline),REL00075,REL00003,False,2.501033285210443
0,(baseline),REL00075,REL00191,False,0.1787068370528378
0,(baseline),REL00075,REL03050,False,4.480107316931911
0,(baseline),REL00077,REL00003,False,3.2500022886235325
0,(baseline),REL00077,REL00033,False,0.03295750443085626
0,(baseline),REL00077,REL00158,False,0.5784647393578023
0,(baseline),REL00077,REL00824,False,0.06773120125896781
0,(baseline),REL00077,REL03042,False,0.6712859803954476
0,(baseline),REL00078,REL00015,False,0.22434634826556532
0,(baseline),REL00078,REL00033,False,0.06100482920585208
0,(baseline),REL00078,REL00158,False,1.339900009748703
0,(baseline),REL00078,REL00824,False,0.01656678513478955
0,(baseline),REL00078,REL03042,False,0.3011414462904874
0,(baseline),REL00080,REL00015,False,0.05883616386686606
0,(baseline),REL00080,REL00033,False,0.05530459356758976
0,(baseline),REL00080,REL00158,False,2.513928173523375
0,(baseline),REL00080,REL00824,False,0.007186277054569075
0,(baseline),REL00080,REL03042,False,0.36651601911315884
0,(baseline),REL00083,REL00015,False,0.0636216564503991
0,(baseline),REL00083,REL00824,False,0.018422841170241146
0,(baseline),REL00083,REL00899,False,0.06759152995026191
0,(baseline),REL00085,REL00003,False,17.76852790359854
0,(baseline),REL00085,REL00033,False,0.6795392351217779
0,(baseline),REL00085,REL00824,False,0.4444737810971108
0,(baseline),REL00085,REL00899,False,0.0457491631766541
0,(baseline),REL00086,REL00016,False,0.7569064465480073
0,(baseline),REL00086,REL00033,False,0.25763246316302413
0,(baseline),REL00086,REL00191,False,0.4770570475342922
0,(baseline),REL00086,REL03042,False,3.1235293606270114
0,(baseline),REL00087,REL00062,False,0.06557738118852001
0,(baseline),REL00087,REL00067,False,1.834971029083709
0,(baseline),REL00087,REL00191,False,0.12828188448759842
0,(baseline),REL00090,REL00033,False,0.02668861490386971
0,(baseline),REL00090,REL00255,False,0.5936879087112019
0,(baseline),REL00090,REL00944,False,0.06445339094148915
0,(baseline),REL00090,REL03042,False,1.9254065454515366
0,(baseline),REL00091,REL00016,False,0.09950425569490097
0,(baseline),REL00091,REL00033,False,0.2824913351600566
0,(baseline),REL00091,REL00062,False,0.013034541717116451
0,(baseline),REL00091,REL00191,False,0.12091716543092687
0,(baseline),REL00092,REL00033,False,0.0011430997429992004
0,(baseline),REL00092,REL00062,False,0.08166673756418441
0,(baseline),REL00092,REL00111,False,0.01524275609916567
0,(baseline),REL00092,REL00191,False,0.4472009683143483
0,(baseline),REL00093,REL00003,False,12.474607561943214
0,(baseline),REL00093,REL00255,False,0.16835509235301072
0,(baseline),REL00093,REL00944,False,0.139061067532332
0,(baseline),REL00093,REL03042,False,1.5850344463714916
0,(baseline),REL00098,REL00003,False,2.0981131900052663
0,(baseline),REL00098,REL00015,False,0.0039872166784307335
0,(baseline),REL00098,REL00158,False,1.2893854362913397
0,(baseline),REL00098,REL03042,False,0.6775477317097383
0,(baseline),REL00100,REL00003,False,9.374330799401186
0,(baseline),REL00100,REL00158,False,2.346510657520269
0,(baseline),REL00100,REL00191,False,0.170815499442778
0,(baseline),REL00100,REL03042,False,0.8483538994375862
0,(baseline),REL00100,REL03050,False,3.763783289725488
0,(baseline),REL00103,REL00103,True,1.0
0,(baseline),REL00106,REL00015,False,0.0013945402760974048
0,(baseline),REL00106,REL00016,False,0.17159949327521706
0,(baseline),REL00106,REL00158,False,4.053362918797518
0,(baseline),REL00106,REL03042,False,0.14841789864986174
0,(baseline),REL00111,REL00111,True,1.0
0,(baseline),REL00112,REL00112,True,1.0
0,(baseline),REL00113,REL00003,False,2.9363635071147436
0,(baseline),REL00113,REL00158,False,0.16854015461449157
0,(baseline),REL00113,REL00191,False,0.20920199899428032
0,(baseline),REL00113,REL03050,False,1.0083548598289243
0,(baseline),REL00118,REL00003,False,9.64834040806996
0,(baseline),REL00118,REL00158,False,1.9771120909830477
0,(baseline),REL00118,REL00191,False,0.008715110285695446
0,(baseline),REL00118,REL03042,False,3.925553281328959
0,(baseline),REL00118,REL03050,False,7.1633735421841624
0,(baseline),REL00121,REL00003,False,2.320347340244423
0,(baseline),REL00121,REL00158,False,0.40861675978090845
0,(baseline),REL00121,REL00191,False,0.2524894483297397
0,(baseline),REL00121,REL03042,False,0.06699932401353355
0,(baseline),REL00121,REL03050,False,4.817083736258772
0,(baseline),REL00123,REL00015,False,0.053403246935145726
0,(baseline),REL00123,REL00033,False,0.045908713083294396
0,(baseline),REL00123,REL00158,False,1.6398005743938937
0,(baseline),REL00123,REL00824,False,0.08369844865117188
0,(baseline),REL00123,REL00899,False,0.469413025879236
0,(baseline),REL00126,REL00003,False,2.4148781373412294
0,(baseline),REL00126,REL00033,False,0.004828046158961841
0,(baseline),REL00126,REL00158,False,0.030716678485464163
0,(baseline),REL00126,REL03050,False,4.93554586782839
0,(baseline),REL00127,REL00003,False,5.53863970672914
0,(baseline),REL00127,REL00158,False,1.1675786957128884
0,(baseline),REL00127,REL00191,False,0.0319933891440572
0,(baseline),REL00127,REL03042,False,0.7787586422972478
0,(baseline),REL00128,REL00016,False,0.1587317033939468
0,(baseline),REL00128,REL00033,False,0.3600235426108533
0,(baseline),REL00128,REL00062,False,0.020770144009743988
0,(baseline),REL00130,REL00016,False,1.262835147078519
0,(baseline),REL00130,REL00033,False,0.13470272842824282
0,(baseline),REL00130,REL00062,False,0.016277873270007646
0,(baseline),REL00130,REL00067,False,0.7308339647858212
0,(baseline),REL00133,REL00003,False,3.18493404800058
0,(baseline),REL00133,REL00015,False,0.008747292058859915
0,(baseline),REL00133,REL00158,False,4.1204090240560145
0,(baseline),REL00133,REL03042,False,0.1617331490495217
0,(baseline),REL00135,REL00003,False,2.7284930683222166
0,(baseline),REL00135,REL00255,False,0.09629146859961392
0,(baseline),REL00135,REL00824,False,0.004267248408746033
0,(baseline),REL00135,REL03042,False,0.21319443468384316
0,(baseline),REL00137,REL00003,False,0.09352890984569204
0,(baseline),REL00137,REL00944,False,0.07955928857211096
0,(baseline),REL00137,REL03042,False,1.0241643588686344
0,(baseline),REL00139,REL00003,False,1.6044462042343224
0,(baseline),REL00139,REL00033,False,0.02981284177895994
0,(baseline),REL00139,REL00255,False,0.03119708453459992
0,(baseline),REL00139,REL00899,False,0.03746613656195088
